CD_MUN,NM_MUN_x_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual,NM_MUN_x_y,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639,NM_MUN,Total_setores,População,Total_autoctone_ponderado,V00001_idx,V00002_idx,V00003_idx,V00004_idx,V00005_idx,V00006_idx,V00007_idx,V00047_idx,V00048_idx,V00049_idx,V00050_idx,V00052_idx,V00111_idx,V00112_idx,V00113_idx,V00114_idx,V00115_idx,V00116_idx,V00117_idx,V00118_idx,V00119_idx,V00120_idx,V00121_idx,V00122_idx,V00123_idx,V00124_idx,V00125_idx,V00126_idx,V00127_idx,V00128_idx,V00129_idx,V00130_idx,V00131_idx,V00132_idx,V00133_idx,V00134_idx,V00135_idx,V00136_idx,V00137_idx,V00138_idx,V00139_idx,V00140_idx,V00141_idx,V00142_idx,V00199_idx,V00200_idx,V00201_idx,V00309_idx,V00310_idx,V00311_idx,V00312_idx,V00313_idx,V00314_idx,V00315_idx,V00316_idx,V00397_idx,V00398_idx,V00399_idx,V00400_idx,V00401_idx,V00402_idx,V00463_idx,V00464_idx,V00465_idx,V00466_idx,V00467_idx,V00468_idx,V00469_idx,V00470_idx,V00508_idx,V00509_idx,V00510_idx,V00511_idx,V00512_idx,V00513_idx,V00514_idx,V00515_idx,V00540_idx,V00541_idx,V00542_idx,V00580_idx,V00581_idx,V00582_idx,V00583_idx,V00584_idx,V00585_idx,V00586_idx,V00587_idx,V00612_idx,V00613_idx,V00614_idx,V00615_idx,V00616_idx,V00617_idx,V00636_idx,V00637_idx,V00638_idx,V00639_idx
3500105,Adamantina,2141,1357,1,1358,Adamantina,13567,0,38,13567,34506,5,43,12928,186,422,6,0,13166,338,42,0,0,0,0,0,12535,330,42,0,0,0,0,0,180,6,0,0,0,0,0,0,422,0,0,0,0,0,0,0,13253,308,0,13156,4,135,251,0,0,0,0,13010,359,94,12,0,68,4,379,4,371,0,6,0,0,33420,948,119,5,4,0,0,0,33750,748,3,33397,25,375,692,7,0,0,0,33127,877,263,37,0,189,27,1047,0,75,Adamantina,107,34687,0.03912128463112982,1.0,0.0,0.0028009139824574335,1.0,2.5433773125967423,0.00036854131348124124,0.003169455295938675,0.9529004201370974,0.013709736861502174,0.03110488685781676,0.0004422495761774895,0.0,0.9704429866588045,0.02491339279133191,0.0030957470332424264,0.0,0.0,0.0,0.0,0.0,0.9239330728974718,0.02432372668976192,0.0030957470332424264,0.0,0.0,0.0,0.0,0.0,0.013267487285324685,0.0004422495761774895,0.0,0.0,0.0,0.0,0.0,0.0,0.03110488685781676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976855605513378,0.02270214491044446,0.0,0.969705904031842,0.000294833050784993,0.009950615463993513,0.01850077393675831,0.0,0.0,0.0,0.0,0.9589444976781897,0.026461266307953122,0.006928576693447336,0.000884499152354979,0.0,0.005012161863344881,0.000294833050784993,0.027935431561878086,0.000294833050784993,0.0273457654603081,0.0,0.0004422495761774895,0.0,0.0,2.4633301393086167,0.06987543303604334,0.008771283260853541,0.00036854131348124124,0.000294833050784993,0.0,0.0,0.0,2.4876538659983782,0.05513378049679369,0.00022112478808874474,2.461634849266603,0.0018427065674062062,0.027640598511093094,0.05100611778580379,0.0005159578388737378,0.0,0.0,0.0,2.4417336183386156,0.06464214638460972,0.01938527308911329,0.002727205719761185,0.0,0.013930861649590918,0.0019901230927987026,0.07717255104297192,0.0,0.005528119702218619
3500204,Adolfo,297,176,0,176,Adolfo,1650,0,0,1650,4351,0,0,1627,21,0,0,0,1455,170,13,0,0,0,0,0,1454,148,13,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,5,0,1479,52,108,4,0,0,0,0,1587,29,30,0,0,0,70,114,49,113,21,0,0,0,3838,454,55,0,0,0,0,0,4338,11,0,3908,120,299,22,0,0,0,0,4186,83,78,4,0,0,186,324,9,36,Adolfo,16,4351,0.04045047115605608,1.0,0.0,0.0,1.0,2.636969696969697,0.0,0.0,0.9860606060606061,0.012727272727272728,0.0,0.0,0.0,0.8818181818181818,0.10303030303030303,0.00787878787878788,0.0,0.0,0.0,0.0,0.0,0.8812121212121212,0.08969696969696969,0.00787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.012727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963636363636363,0.0030303030303030303,0.0,0.8963636363636364,0.03151515151515152,0.06545454545454546,0.0024242424242424242,0.0,0.0,0.0,0.0,0.9618181818181818,0.017575757575757574,0.01818181818181818,0.0,0.0,0.0,0.04242424242424243,0.06909090909090909,0.029696969696969697,0.06848484848484848,0.012727272727272728,0.0,0.0,0.0,2.326060606060606,0.27515151515151515,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,2.629090909090909,0.006666666666666667,0.0,2.3684848484848486,0.07272727272727272,0.1812121212121212,0.013333333333333334,0.0,0.0,0.0,0.0,2.536969696969697,0.0503030303030303,0.04727272727272727,0.0024242424242424242,0.0,0.0,0.11272727272727273,0.19636363636363635,0.005454545454545455,0.02181818181818182
3500303,Aguaí,44,5,1,6,Aguaí,11480,0,54,11480,32008,4,54,11322,4,121,14,0,10717,439,220,77,5,0,0,0,10561,437,220,77,5,0,0,0,4,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,11461,3,4,10698,0,323,417,0,0,11,0,10550,336,404,15,0,134,77,671,77,669,0,0,0,0,29743,1365,636,227,20,0,0,10,31968,25,7,29692,9,1016,1210,0,13,54,0,29194,1081,1242,64,4,413,232,2030,19,326,Aguaí,63,32072,0.00015589922673983538,1.0,0.0,0.004703832752613241,1.0,2.7881533101045295,0.0003484320557491289,0.004703832752613241,0.9862369337979094,0.0003484320557491289,0.01054006968641115,0.0012195121951219512,0.0,0.9335365853658537,0.0382404181184669,0.01916376306620209,0.006707317073170732,0.00043554006968641115,0.0,0.0,0.0,0.9199477351916376,0.03806620209059233,0.01916376306620209,0.006707317073170732,0.00043554006968641115,0.0,0.0,0.0,0.0003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01054006968641115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983449477351917,0.0002613240418118467,0.0003484320557491289,0.9318815331010453,0.0,0.02813588850174216,0.03632404181184669,0.0,0.0,0.0009581881533101045,0.0,0.9189895470383276,0.02926829268292683,0.03519163763066202,0.0013066202090592336,0.0,0.011672473867595819,0.006707317073170732,0.05844947735191638,0.006707317073170732,0.05827526132404181,0.0,0.0,0.0,0.0,2.5908536585365853,0.11890243902439024,0.0554006968641115,0.019773519163763065,0.0017421602787456446,0.0,0.0,0.0008710801393728223,2.7846689895470385,0.0021777003484320556,0.0006097560975609756,2.586411149825784,0.0007839721254355401,0.08850174216027874,0.10540069686411149,0.0,0.001132404181184669,0.004703832752613241,0.0,2.5430313588850173,0.0941637630662021,0.10818815331010453,0.005574912891986063,0.0003484320557491289,0.03597560975609756,0.020209059233449476,0.17682926829268292,0.0016550522648083625,0.028397212543554005
3500402,Águas da Prata,11,0,0,0,Águas da Prata,2830,0,99,2830,7262,5,99,2721,11,92,0,0,2540,47,12,213,0,0,0,0,2431,47,12,213,0,0,0,0,11,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,2817,12,0,2475,19,132,141,0,37,7,0,2675,108,33,0,0,4,23,254,23,254,0,0,0,0,6510,129,30,583,0,0,0,0,7224,37,0,6325,66,339,393,4,102,22,0,6866,283,96,0,0,13,79,662,15,86,Águas da Prata,24,7369,0.0,1.0,0.0,0.03498233215547703,1.0,2.5660777385159013,0.0017667844522968198,0.03498233215547703,0.9614840989399294,0.0038869257950530037,0.03250883392226148,0.0,0.0,0.8975265017667845,0.016607773851590107,0.004240282685512367,0.07526501766784452,0.0,0.0,0.0,0.0,0.8590106007067138,0.016607773851590107,0.004240282685512367,0.07526501766784452,0.0,0.0,0.0,0.0,0.0038869257950530037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03250883392226148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954063604240283,0.004240282685512367,0.0,0.8745583038869258,0.006713780918727915,0.046643109540636045,0.04982332155477032,0.0,0.013074204946996466,0.0024734982332155478,0.0,0.9452296819787986,0.03816254416961131,0.011660777385159011,0.0,0.0,0.0014134275618374558,0.00812720848056537,0.08975265017667844,0.00812720848056537,0.08975265017667844,0.0,0.0,0.0,0.0,2.3003533568904593,0.04558303886925795,0.01060070671378092,0.2060070671378092,0.0,0.0,0.0,0.0,2.552650176678445,0.013074204946996466,0.0,2.234982332155477,0.023321554770318022,0.11978798586572438,0.13886925795053004,0.0014134275618374558,0.03604240282685512,0.0077738515901060075,0.0,2.426148409893993,0.1,0.03392226148409894,0.0,0.0,0.004593639575971731,0.02791519434628975,0.23392226148409895,0.00530035335689046,0.0303886925795053
3500501,Águas de Lindóia,101,11,11,22,Águas de Lindóia,6799,0,116,6799,17806,0,124,5942,79,764,0,0,6398,102,24,233,0,0,0,0,5555,93,24,226,0,0,0,0,69,4,0,3,0,0,0,0,762,0,0,0,0,0,0,0,6798,0,0,6274,24,162,269,3,10,3,0,6403,332,27,0,0,3,127,252,122,245,0,6,0,0,16720,329,93,642,4,0,5,3,17804,0,0,16361,90,488,763,21,42,25,0,16777,882,95,6,0,29,364,715,20,72,Águas de Lindóia,49,17930,0.0006134969325153375,1.0,0.0,0.01706133254890425,1.0,2.6189145462568026,0.0,0.018237976172966613,0.8739520517723195,0.011619355787615826,0.11236946609795558,0.0,0.0,0.9410207383438741,0.015002206206795116,0.003529930872187086,0.0342697455508163,0.0,0.0,0.0,0.0,0.8170319164583026,0.013678482129724959,0.003529930872187086,0.03324018237976173,0.0,0.0,0.0,0.0,0.010148551257537873,0.0005883218120311811,0.0,0.00044124135902338577,0.0,0.0,0.0,0.0,0.11207530519193999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998529195469922,0.0,0.0,0.9227827621709075,0.003529930872187086,0.023827033387262834,0.03956464185909692,0.00044124135902338577,0.0014708045300779527,0.00044124135902338577,0.0,0.9417561406089131,0.04883071039858803,0.003971172231210472,0.0,0.0,0.00044124135902338577,0.01867921753199,0.03706427415796441,0.017943815266951022,0.03603471098690984,0.0,0.0008824827180467715,0.0,0.0,2.459185174290337,0.04838946903956464,0.013678482129724959,0.09442565083100456,0.0005883218120311811,0.0,0.0007354022650389764,0.00044124135902338577,2.618620385350787,0.0,0.0,2.4063832916605383,0.013237240770701575,0.07177526106780409,0.11222238564494778,0.0030886895131637007,0.006177379026327401,0.0036770113251948814,0.0,2.467568760111781,0.1297249595528754,0.01397264303574055,0.0008824827180467715,0.0,0.004265333137226063,0.05353728489483748,0.10516252390057361,0.0029416090601559054,0.01058979261656126
3500550,Águas de Santa Bárbara,88,46,4,50,Águas de Santa Bárbara,2707,0,0,2707,7149,4,0,2620,60,13,0,3,2364,244,4,54,5,0,0,5,2280,239,4,54,5,0,0,5,59,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2698,0,4,1613,6,1005,45,0,10,0,0,2497,120,70,5,0,0,13,315,13,310,0,0,0,0,6215,733,16,124,26,0,8,16,7129,7,10,4273,17,2663,137,0,25,8,0,6586,326,210,21,0,3,29,892,0,102,Águas de Santa Bárbara,29,7177,0.006409363243695137,1.0,0.0,0.0,1.0,2.6409309198374586,0.0014776505356483192,0.0,0.967861100849649,0.02216475803472479,0.004802364240857037,0.0,0.0011082379017362395,0.8732914665681566,0.09013668267454747,0.0014776505356483192,0.01994828223125231,0.001847063169560399,0.0,0.0,0.001847063169560399,0.842260805319542,0.08828961950498707,0.0014776505356483192,0.01994828223125231,0.001847063169560399,0.0,0.0,0.001847063169560399,0.021795345400812707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004802364240857037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966752862947913,0.0,0.0014776505356483192,0.5958625785001848,0.002216475803472479,0.3712596970816402,0.016623568526043592,0.0,0.003694126339120798,0.0,0.0,0.9224233468784633,0.04432951606944958,0.025858884373845585,0.001847063169560399,0.0,0.0,0.004802364240857037,0.11636497968230514,0.004802364240857037,0.11451791651274473,0.0,0.0,0.0,0.0,2.295899519763576,0.2707794606575545,0.005910602142593277,0.04580716660509789,0.009604728481714075,0.0,0.0029553010712966383,0.005910602142593277,2.633542667159217,0.0025858884373845584,0.003694126339120798,1.578500184706317,0.006280014776505356,0.9837458441078685,0.05060953084595493,0.0,0.009235315847801994,0.0029553010712966383,0.0,2.4329516069449575,0.12042851865533802,0.07757665312153676,0.007757665312153676,0.0,0.0011082379017362395,0.010712966383450314,0.3295160694495752,0.0,0.03768008865903214
3500600,Águas de São Pedro,110,16,8,24,Águas de São Pedro,1153,0,0,1153,2779,0,0,938,3,210,0,0,1153,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,1153,0,0,1149,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,2779,0,0,0,0,0,0,0,2779,0,0,2767,0,12,0,0,0,0,0,2774,5,0,0,0,0,0,0,0,0,Águas de São Pedro,7,2780,0.0057553956834532375,1.0,0.0,0.0,1.0,2.410234171725932,0.0,0.0,0.813529921942758,0.0026019080659150044,0.1821335646140503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813529921942758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026019080659150044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1821335646140503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9965307892454467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982653946227233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410234171725932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410234171725932,0.0,0.0,2.399826539462272,0.0,0.010407632263660017,0.0,0.0,0.0,0.0,0.0,2.4058976582827407,0.004336513443191674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500709,Agudos,399,253,7,260,Agudos,12933,27,138,12933,37404,71,138,12784,25,106,3,0,12296,484,28,90,0,0,0,3,12149,484,28,89,0,0,0,3,25,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,12905,9,3,12170,18,565,89,9,44,4,0,12481,171,239,7,0,6,172,435,171,435,0,0,0,0,35592,1435,93,246,4,0,15,6,37335,55,6,35193,83,1640,283,31,134,22,0,36126,501,731,18,5,17,525,1274,75,148,Agudos,68,37680,0.00671443736730361,1.0,0.0020876826722338203,0.010670378102528416,1.0,2.892136395267919,0.005489832212170417,0.010670378102528416,0.9884790845124874,0.0019330395113276114,0.008196087528029073,0.00023196474135931338,0.0,0.9507461532513725,0.03742364493930256,0.002165004252686925,0.006958942240779402,0.0,0.0,0.0,0.00023196474135931338,0.9393798809247661,0.03742364493930256,0.002165004252686925,0.006881620660326297,0.0,0.0,0.0,0.00023196474135931338,0.0019330395113276114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008196087528029073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997834995747313,0.0006958942240779402,0.00023196474135931338,0.9410036341142813,0.0013917884481558804,0.04368669295600402,0.006881620660326297,0.0006958942240779402,0.0034021495399365964,0.00030928632181241784,0.0,0.9650506456351968,0.013221990257480862,0.018479857728291967,0.0005412510631717313,0.0,0.00046392948271862676,0.013299311837933968,0.03363488749710044,0.013221990257480862,0.03363488749710044,0.0,0.0,0.0,0.0,2.752029691486894,0.1109564679502049,0.0071909069821387145,0.0190211087914637,0.00030928632181241784,0.0,0.001159823706796567,0.00046392948271862676,2.886801206216655,0.004252686924920745,0.00046392948271862676,2.7211783808861054,0.00641769117760767,0.12680739194309132,0.021882007268228563,0.0023969689940462383,0.010361091780715998,0.0017010747699682982,0.0,2.7933194154488517,0.038738111807005336,0.05652207531121936,0.0013917884481558804,0.0003866079022655223,0.0013144668677027758,0.040593829737879845,0.09850769349725508,0.005799118533982834,0.01144359390705946
3500758,Alambari,8,1,0,1,Alambari,2139,0,4,2139,6131,0,8,1942,196,0,0,0,1748,328,5,42,0,0,0,0,1616,264,5,42,0,0,0,0,131,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,1121,0,298,702,0,0,0,0,1987,88,57,0,0,0,29,351,29,287,0,64,0,0,5037,938,20,124,0,0,0,3,6110,17,3,3279,19,850,1971,3,0,0,0,5690,255,176,5,0,5,102,992,5,126,Alambari,15,6141,0.00016283992835043154,1.0,0.0,0.0018700327255726976,1.0,2.866292660121552,0.0,0.0037400654511453952,0.9079008882655446,0.09163160355306219,0.0,0.0,0.0,0.8172043010752689,0.1533426834969612,0.0023375409069658717,0.019635343618513323,0.0,0.0,0.0,0.0,0.7554932211313699,0.12342215988779803,0.0023375409069658717,0.019635343618513323,0.0,0.0,0.0,0.0,0.06124357176250585,0.029920523609163162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967274427302478,0.0,0.0,0.5240766713417485,0.0,0.13931743805516597,0.3281907433380084,0.0,0.0,0.0,0.0,0.9289387564282375,0.04114071996259935,0.02664796633941094,0.0,0.0,0.0,0.013557737260402058,0.1640953716690042,0.013557737260402058,0.13417484805984103,0.0,0.029920523609163162,0.0,0.0,2.3548387096774195,0.4385226741467976,0.009350163627863487,0.057971014492753624,0.0,0.0,0.0,0.001402524544179523,2.8564749883122955,0.007947639083683964,0.001402524544179523,1.532959326788219,0.008882655446470314,0.39738195418419825,0.9214586255259467,0.001402524544179523,0.0,0.0,0.0,2.6601215521271624,0.11921458625525946,0.0822814399251987,0.0023375409069658717,0.0,0.0023375409069658717,0.047685834502103785,0.463768115942029,0.0023375409069658717,0.05890603085553997
3500808,Alfredo Marcondes,590,189,116,305,Alfredo Marcondes,1726,0,13,1726,4432,0,13,1726,0,0,0,0,1519,166,29,3,0,0,0,0,1519,166,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,1454,7,178,72,0,0,4,0,1536,91,57,0,0,35,17,184,17,184,0,0,0,0,3908,424,69,17,0,0,0,4,4426,0,0,3727,29,484,167,5,0,9,0,3941,229,136,14,0,109,44,472,4,35,Alfredo Marcondes,15,4445,0.04251968503937008,1.0,0.0,0.007531865585168019,1.0,2.567786790266512,0.0,0.007531865585168019,1.0,0.0,0.0,0.0,0.0,0.8800695249130939,0.09617612977983778,0.016801853997682505,0.0017381228273464658,0.0,0.0,0.0,0.0,0.8800695249130939,0.09617612977983778,0.016801853997682505,0.0017381228273464658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971031286210892,0.0,0.0,0.8424101969872537,0.004055619930475087,0.10312862108922363,0.04171494785631518,0.0,0.0,0.002317497103128621,0.0,0.8899188876013905,0.05272305909617613,0.03302433371958285,0.0,0.0,0.020278099652375436,0.009849362688296639,0.10660486674391657,0.009849362688296639,0.10660486674391657,0.0,0.0,0.0,0.0,2.264194669756663,0.24565469293163383,0.03997682502896872,0.009849362688296639,0.0,0.0,0.0,0.002317497103128621,2.564310544611819,0.0,0.0,2.159327925840093,0.016801853997682505,0.28041714947856317,0.09675550405561993,0.0028968713789107765,0.0,0.005214368482039398,0.0,2.283314020857474,0.13267670915411356,0.07879490150637311,0.008111239860950173,0.0,0.06315179606025492,0.02549246813441483,0.2734646581691773,0.002317497103128621,0.020278099652375436
