CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3508702,Caconde,46,17101
3,Sudeste,35,São Paulo,3508801,Cafelândia,65,16654
3,Sudeste,35,São Paulo,3508900,Caiabu,14,3712
3,Sudeste,35,São Paulo,3509007,Caieiras,204,95032
3,Sudeste,35,São Paulo,3509106,Caiuá,16,5466
3,Sudeste,35,São Paulo,3509205,Cajamar,240,92689
3,Sudeste,35,São Paulo,3509254,Cajati,65,28515
3,Sudeste,35,São Paulo,3509304,Cajobi,28,9133
3,Sudeste,35,São Paulo,3509403,Cajuru,42,23830
3,Sudeste,35,São Paulo,3509452,Campina do Monte Alegre,16,5954
3,Sudeste,35,São Paulo,3509502,Campinas,2511,1139047
3,Sudeste,35,São Paulo,3509601,Campo Limpo Paulista,237,77632
3,Sudeste,35,São Paulo,3509700,Campos do Jordão,161,46974
3,Sudeste,35,São Paulo,3509809,Campos Novos Paulista,14,4888
3,Sudeste,35,São Paulo,3509908,Cananéia,78,12289
3,Sudeste,35,São Paulo,3509957,Canas,14,4931
3,Sudeste,35,São Paulo,3510005,Cândido Mota,72,29449
3,Sudeste,35,São Paulo,3510104,Cândido Rodrigues,8,2889
3,Sudeste,35,São Paulo,3510153,Canitar,17,6283
3,Sudeste,35,São Paulo,3510203,Capão Bonito,116,46337
3,Sudeste,35,São Paulo,3510302,Capela do Alto,47,22866
3,Sudeste,35,São Paulo,3510401,Capivari,99,50068
3,Sudeste,35,São Paulo,3510500,Caraguatatuba,396,134873
3,Sudeste,35,São Paulo,3510609,Carapicuíba,846,386984
3,Sudeste,35,São Paulo,3510708,Cardoso,31,11345
3,Sudeste,35,São Paulo,3510807,Casa Branca,56,28083
3,Sudeste,35,São Paulo,3510906,Cássia dos Coqueiros,10,2799
3,Sudeste,35,São Paulo,3511003,Castilho,53,19977
3,Sudeste,35,São Paulo,3511102,Catanduva,304,115791
3,Sudeste,35,São Paulo,3511201,Catiguá,20,7003
3,Sudeste,35,São Paulo,3511300,Cedral,39,12618
3,Sudeste,35,São Paulo,3511409,Cerqueira César,70,21469
3,Sudeste,35,São Paulo,3511508,Cerquilho,75,44695
3,Sudeste,35,São Paulo,3511607,Cesário Lange,40,19048
3,Sudeste,35,São Paulo,3511706,Charqueada,39,15535
3,Sudeste,35,São Paulo,3511904,Clementina,18,6982
3,Sudeste,35,São Paulo,3512001,Colina,40,18486
3,Sudeste,35,São Paulo,3512100,Colômbia,21,6629
3,Sudeste,35,São Paulo,3512209,Conchal,54,28101
3,Sudeste,35,São Paulo,3512308,Conchas,50,15232
3,Sudeste,35,São Paulo,3512407,Cordeirópolis,60,24514
3,Sudeste,35,São Paulo,3512506,Coroados,15,5400
3,Sudeste,35,São Paulo,3512605,Coronel Macedo,16,4280
3,Sudeste,35,São Paulo,3512704,Corumbataí,14,4195
3,Sudeste,35,São Paulo,3512803,Cosmópolis,155,59773
3,Sudeste,35,São Paulo,3512902,Cosmorama,19,8719
3,Sudeste,35,São Paulo,3513009,Cotia,739,274413
3,Sudeste,35,São Paulo,3513108,Cravinhos,61,33281
3,Sudeste,35,São Paulo,3513207,Cristais Paulista,27,9272
3,Sudeste,35,São Paulo,3513306,Cruzália,7,2108
3,Sudeste,35,São Paulo,3513405,Cruzeiro,157,74961
3,Sudeste,35,São Paulo,3513504,Cubatão,278,112476
3,Sudeste,35,São Paulo,3513603,Cunha,74,22110
3,Sudeste,35,São Paulo,3513702,Descalvado,66,31756
3,Sudeste,35,São Paulo,3513801,Diadema,769,393237
3,Sudeste,35,São Paulo,3513850,Dirce Reis,13,1620
3,Sudeste,35,São Paulo,3513900,Divinolândia,28,11158
3,Sudeste,35,São Paulo,3514007,Dobrada,21,8759
3,Sudeste,35,São Paulo,3514106,Dois Córregos,78,24510
3,Sudeste,35,São Paulo,3514205,Dolcinópolis,12,2207
3,Sudeste,35,São Paulo,3514304,Dourado,18,8096
3,Sudeste,35,São Paulo,3514403,Dracena,116,45474
3,Sudeste,35,São Paulo,3514502,Duartina,37,12328
3,Sudeste,35,São Paulo,3514601,Dumont,25,9471
3,Sudeste,35,São Paulo,3514700,Echaporã,22,6205
3,Sudeste,35,São Paulo,3514809,Eldorado,78,13069
3,Sudeste,35,São Paulo,3514908,Elias Fausto,37,17699
3,Sudeste,35,São Paulo,3514924,Elisiário,13,3138
3,Sudeste,35,São Paulo,3514957,Embaúba,7,2323
3,Sudeste,35,São Paulo,3515004,Embu das Artes,638,250691
3,Sudeste,35,São Paulo,3515103,Embu-Guaçu,184,66970
3,Sudeste,35,São Paulo,3515129,Emilianópolis,11,3014
3,Sudeste,35,São Paulo,3515152,Engenheiro Coelho,48,19566
3,Sudeste,35,São Paulo,3515186,Espírito Santo do Pinhal,85,39816
3,Sudeste,35,São Paulo,3515194,Espírito Santo do Turvo,13,4157
3,Sudeste,35,São Paulo,3515202,Estrela d'Oeste,24,9417
3,Sudeste,35,São Paulo,3515301,Estrela do Norte,12,2703
3,Sudeste,35,São Paulo,3515350,Euclides da Cunha Paulista,23,7924
3,Sudeste,35,São Paulo,3515400,Fartura,47,16641
3,Sudeste,35,São Paulo,3515509,Fernandópolis,180,71186
3,Sudeste,35,São Paulo,3515608,Fernando Prestes,18,5942
3,Sudeste,35,São Paulo,3515657,Fernão,4,1656
3,Sudeste,35,São Paulo,3515707,Ferraz de Vasconcelos,397,179198
3,Sudeste,35,São Paulo,3515806,Flora Rica,8,1487
3,Sudeste,35,São Paulo,3515905,Floreal,12,2733
3,Sudeste,35,São Paulo,3516002,Flórida Paulista,35,12958
3,Sudeste,35,São Paulo,3516101,Florínea,20,3851
3,Sudeste,35,São Paulo,3516200,Franca,698,352536
3,Sudeste,35,São Paulo,3516309,Francisco Morato,397,165139
3,Sudeste,35,São Paulo,3516408,Franco da Rocha,369,144849
3,Sudeste,35,São Paulo,3516507,Gabriel Monteiro,10,2763
3,Sudeste,35,São Paulo,3516606,Gália,25,6380
3,Sudeste,35,São Paulo,3516705,Garça,114,42110
3,Sudeste,35,São Paulo,3516804,Gastão Vidigal,13,3252
3,Sudeste,35,São Paulo,3516853,Gavião Peixoto,10,4702
3,Sudeste,35,São Paulo,3516903,General Salgado,36,10312
3,Sudeste,35,São Paulo,3517000,Getulina,31,10232
3,Sudeste,35,São Paulo,3517109,Glicério,18,4138
3,Sudeste,35,São Paulo,3517208,Guaiçara,39,11239
3,Sudeste,35,São Paulo,3517307,Guaimbê,19,5512
3,Sudeste,35,São Paulo,3517406,Guaíra,73,39279
3,Sudeste,35,São Paulo,3517505,Guapiaçu,49,21711
3,Sudeste,35,São Paulo,3517604,Guapiara,50,17071
3,Sudeste,35,São Paulo,3517703,Guará,51,18606
3,Sudeste,35,São Paulo,3517802,Guaraçaí,25,7441
3,Sudeste,35,São Paulo,3517901,Guaraci,31,10350
3,Sudeste,35,São Paulo,3518008,Guarani d'Oeste,9,1968
3,Sudeste,35,São Paulo,3518107,Guarantã,19,6427
3,Sudeste,35,São Paulo,3518206,Guararapes,83,31043
3,Sudeste,35,São Paulo,3518305,Guararema,80,31236
3,Sudeste,35,São Paulo,3518404,Guaratinguetá,236,118044
3,Sudeste,35,São Paulo,3518503,Guareí,31,15013
3,Sudeste,35,São Paulo,3518602,Guariba,87,37498
3,Sudeste,35,São Paulo,3518701,Guarujá,768,287634
3,Sudeste,35,São Paulo,3518800,Guarulhos,2495,1291771
3,Sudeste,35,São Paulo,3518859,Guatapará,20,7320
3,Sudeste,35,São Paulo,3518909,Guzolândia,17,4246
3,Sudeste,35,São Paulo,3519006,Herculândia,36,9125
3,Sudeste,35,São Paulo,3519055,Holambra,32,15094
3,Sudeste,35,São Paulo,3519071,Hortolândia,370,236641
3,Sudeste,35,São Paulo,3519105,Iacanga,35,10437
3,Sudeste,35,São Paulo,3519204,Iacri,29,6131
3,Sudeste,35,São Paulo,3519253,Iaras,20,8010
3,Sudeste,35,São Paulo,3519303,Ibaté,59,32178
