CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00004,V00111,V00112,V00113,V00114,V00119,V00120,V00121,V00122,V00127,V00128,V00135,V00137,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00397,V00398,V00399,V00400,V00463,V00464,V00465,V00466,V00615
3500105,Adamantina,Q4 - Muito Alta,8,3863.0,35153,1358,-0.06662243242965997,-0.06679276869664023,-0.06662243242965997,-0.06332600432222452,-0.18590227751532923,-0.25008197901913687,-0.3706739623367942,-0.05335768083909256,-0.19481768125470703,-0.2502159367667125,-0.3730214827633906,-0.11328152448167488,-0.1327357773337912,-0.07922249119898565,-0.06428937467579754,-0.06794160287445891,1.31260622837236,-0.22383139129900373,-0.05827591823682125,-0.18674553130351026,-0.320599493563159,-0.2899416537964573,-0.1710793604503309,-0.0930144675840972,-0.06005498857391843,-0.12156796501821679,-0.3472039964371384,0.36451862002522395,-0.2755473915675329,-0.28777980150626287,-0.4061130042836963,-0.2848531637884754,0.2478348304327526
3500204,Adolfo,Q4 - Muito Alta,0,4965.0,3545,176,-0.13497620078647993,-0.06679276869664023,-0.13497620078647993,-0.1310994030578685,-0.3507789402385133,-0.2927886626339005,-0.3706739623367942,-0.15297710828642108,-0.47699996974335873,-0.2940456168869091,-0.3730214827633906,-0.17207295136805845,-0.04379719031538078,-0.0865711376942075,-0.06428937467579754,-0.13468914705892848,-0.21277583587969523,-0.22383139129900373,-0.12912933712922672,-0.14151822367598763,-0.33247028708979565,-0.45302954073255897,-0.1710793604503309,-0.0930144675840972,-0.13165036769187305,-0.1421185204112423,-0.6713344588868122,-0.46891330173658996,-0.18122768719628643,-0.4556238144008482,-0.2772418861436304,-0.45727433885034435,-0.5269497850948817
3500303,Aguaí,Q1 - Baixa,8,16.0,36981,6,-0.07859308901778478,-0.06679276869664023,-0.07859308901778478,-0.077498752465303,-0.08677999814008167,0.012048699719757427,-0.21962265493044061,-0.07110416128138355,-0.02891930285753266,0.018807617074494302,-0.2185096063296019,-0.17076647521502772,-0.16831121214115533,-0.0844640613294638,-0.06428937467579754,-0.07824495365218047,-0.22284436435660648,-0.20005057532992704,-0.07319051133757767,-0.19051447360580384,-0.23794359789620745,-0.1803360293778627,-0.1710793604503309,-0.0930144675840972,-0.07547341040970311,-0.12300027645470038,1.222802931053469,0.5728766004656775,-0.17122408218721483,-0.10283470050543679,-0.19705541263425605,-0.08570002360073538,0.8817495158644534
3500402,Águas da Prata,Q1 - Baixa,0,0.0,8262,0,-0.12820793304618897,-0.06679276869664023,-0.12820793304618897,-0.12482033742485904,-0.4714922111608445,-0.2942613068964786,0.04716926464441769,-0.14419376918200452,-0.633595635333215,-0.29555698516691586,0.054394487111895005,-0.1684801419472239,-0.16831121214115533,-0.08496906310283213,-0.06428937467579754,-0.12794482202418106,-0.17753598621050584,-0.22383139129900373,-0.12308583235772413,-0.17261199766990945,-0.32191847062167417,-0.36257188684492364,-0.1710793604503309,-0.08559649678410032,-0.12483116323767234,-0.13719884199897253,-0.6561408434594838,-0.46891330173658996,-0.24839474940005285,-0.366951505701822,-0.3517007544023351,-0.36304416178164856,-0.620863071825504
3500501,Águas de Lindóia,Q2 - Moderada,0,116.0,18908,22,-0.10544246299431194,-0.06679276869664023,-0.10544246299431194,-0.10249348469476643,-0.4175147322931354,-0.2765895757455419,0.0864033704642498,-0.11610866031588644,-0.5622748371437755,-0.2774205658068345,0.08048090780850868,-0.1495362377282781,-0.14459425560291256,-0.07330178075259838,-0.06428937467579754,-0.10505551429755747,-0.23794715707197336,-0.22383139129900373,-0.10003435180858922,-0.1679008197920425,-0.30872870003652236,-0.27805670657034465,-0.16335301517835074,-0.09100961061112507,-0.10146535974019052,-0.12324937409582797,-0.6865280743141406,-0.46891330173658996,-0.09976976069384628,-0.36821825296895094,-0.06818429449419017,-0.36905885393496957,-0.4799931417295705
3500550,Águas de Santa Bárbara,Q3 - Alta,0,814.0,6142,50,-0.1289134389208125,-0.06679276869664023,-0.1289134389208125,-0.12583887710357763,-0.27815469594377745,-0.3060424609971031,-0.26474187662324755,-0.14555127604461138,-0.3359088254990329,-0.3076479314069701,-0.26466250448514916,-0.15280242811085495,-0.16831121214115533,-0.08634475758890446,-0.06428937467579754,-0.12862902891176414,-0.23794715707197336,-0.20005057532992704,-0.12831625516197637,-0.1848610601523635,0.06190385340624449,-0.4259582720508579,-0.1710793604503309,-0.09100961061112507,-0.12594680514286327,-0.1364515490755898,-0.46875291985576606,-0.12165000100250081,-0.26268561369872656,-0.32831571405438914,-0.3803387806556831,-0.3256194106054289,-0.12781831648973674
3500600,Águas de São Pedro,Q2 - Moderada,0,669.0,3588,24,-0.13782690338556858,-0.06679276869664023,-0.13782690338556858,-0.13284712455203335,-0.5176184203750686,-0.3119330380474153,-0.3706739623367942,-0.15761600590963393,-0.7064668856572074,-0.31369340452699723,-0.3730214827633906,-0.1710930942532854,-0.16831121214115533,-0.08291422830085066,-0.06428937467579754,-0.1375122191749225,-0.23794715707197336,-0.22383139129900373,-0.1311317031679776,-0.19051447360580384,-0.3799534611963423,-0.45567064011613956,-0.1710793604503309,-0.0930144675840972,-0.13438306359447552,-0.14392447830941726,-0.8232706131600968,-0.46891330173658996,-0.2812637372870024,-0.5278284086271982,-0.4175682147850355,-0.5327921403309304,-0.620863071825504
3500709,Agudos,Q3 - Alta,8,692.0,37582,260,-0.07025894238503665,0.03792210481315874,-0.07025894238503665,-0.06836083114316298,-0.04261660633922879,-0.2706989986952297,-0.19412048614754976,-0.0568278639448293,0.04395194746645982,-0.2713750926868074,-0.1944298333788816,-0.1639074754116163,-0.16831121214115533,-0.084725269143275,-0.06428937467579754,-0.0699424767978111,-0.19263877892587272,-0.2059957793221962,-0.06425874524957383,-0.17355423324548283,-0.13154611517598255,-0.39690617883147133,-0.14790032463439043,-0.08419309690301983,-0.06337057603372741,-0.13327555415121314,0.38715408255040373,0.017255319291134833,-0.035460871349814585,-0.25231087802665236,0.07214203414721491,-0.2420820195870816,-0.1982532815377035
3500758,Alambari,Q1 - Baixa,0,16.0,6231,1,-0.1321713847483424,-0.06679276869664023,-0.1321713847483424,-0.12940376597909267,-0.19571636458218541,-0.304569816734525,-0.2882823401151468,-0.15152071019541238,-0.2971475221352071,-0.3061365631269633,-0.2887422774358695,-0.12928585735630152,0.21116009247072903,-0.0865711376942075,-0.06428937467579754,-0.13188332385606683,-0.23794715707197336,-0.22383139129900373,-0.13130160089247767,-0.19051447360580384,-0.24893507338383397,0.007842301702254615,-0.1710793604503309,-0.0930144675840972,-0.12914330723076983,-0.13844433020461044,-0.5345919200408561,-0.46891330173658996,-0.23982023082084863,-0.3055142632460681,-0.3345179386503263,-0.34099029055280483,-0.5034714634122262
3500808,Alfredo Marcondes,Q4 - Muito Alta,0,7260.0,4201,305,-0.13454027845744423,-0.06679276869664023,-0.13454027845744423,-0.13072902499287992,-0.35470457506525577,-0.26922635443265164,-0.3647888464638194,-0.15239275102768302,-0.4490918313214042,-0.2698637244068006,-0.3670015395257105,-0.17207295136805845,-0.16831121214115533,-0.0865711376942075,-0.06428937467579754,-0.13424642495519826,-0.23794715707197336,-0.22383139129900373,-0.1292810315261018,-0.1839188245767901,-0.30169415572444136,-0.4081308512116889,-0.1710793604503309,-0.0930144675840972,-0.1319700179006637,-0.13825750697376477,-0.5345919200408561,-0.46891330173658996,-0.25696926797925707,-0.4112876600513351,-0.3688835701543439,-0.409825100751923,-0.2921665682683258
