CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3506409,Bilac,161,2,7,16,50,76,9,3,1,0,0,0,0,1,163
3506508,Birigui,9546,90,77,308,2463,3569,2090,594,276,92,70,38,35,24,9636
3506607,Biritiba Mirim,49,5,2,0,3,30,16,1,1,0,0,0,0,1,54
3506706,Boa Esperança do Sul,755,3,0,0,27,133,348,131,41,11,5,6,24,32,758
3506805,Bocaina,309,0,0,2,53,129,104,17,2,0,0,0,1,1,309
3506904,Bofete,2,2,0,0,0,1,1,1,1,0,0,0,0,0,4
3507001,Boituva,84,4,2,1,15,34,21,6,2,1,1,1,1,3,88
3507100,Bom Jesus dos Perdões,56,0,0,0,1,10,16,7,5,5,5,2,3,2,56
3507159,Bom Sucesso de Itararé,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3507209,Borá,64,2,17,22,14,7,5,1,0,0,0,0,0,0,66
3507308,Boracéia,18,1,0,0,0,2,10,5,2,0,0,0,0,0,19
3507407,Borborema,1528,5,4,28,247,641,493,91,4,7,2,6,4,6,1533
3507456,Borebi,133,34,1,2,32,92,29,2,3,4,1,0,1,0,167
3507506,Botucatu,244,28,2,1,50,92,77,16,15,3,4,3,2,7,272
3507605,Bragança Paulista,234,17,1,1,14,95,85,24,16,2,6,4,3,0,251
3507704,Braúna,295,0,27,80,104,53,27,2,1,0,1,0,0,0,295
3507753,Brejo Alegre,146,1,2,7,67,68,1,1,1,0,0,0,0,0,147
3507803,Brodowski,64,2,0,0,9,34,8,7,2,2,2,2,0,0,66
3507902,Brotas,321,24,0,2,15,121,114,48,21,4,6,9,4,1,345
3508009,Buri,3,1,1,1,0,1,0,1,0,0,0,0,0,0,4
3508108,Buritama,1654,3,471,474,401,178,73,15,13,20,4,6,1,1,1657
3508207,Buritizal,43,1,1,4,9,13,15,0,2,0,0,0,0,0,44
3508306,Cabrália Paulista,43,2,0,0,6,23,14,2,0,0,0,0,0,0,45
3508405,Cabreúva,33,2,2,0,1,11,7,6,2,4,0,0,0,2,35
3508504,Caçapava,92,9,1,1,8,28,42,13,4,1,2,0,1,0,101
3508603,Cachoeira Paulista,15,0,1,0,2,4,3,1,1,2,1,0,0,0,15
3508702,Caconde,5,0,1,0,0,1,1,1,0,0,0,0,1,0,5
3508801,Cafelândia,79,1,3,0,15,30,26,5,0,1,0,0,0,0,80
3508900,Caiabu,40,26,0,0,0,12,26,3,6,2,5,6,6,0,66
3509007,Caieiras,80,2,0,0,14,42,22,1,1,0,0,0,1,1,82
3509106,Caiuá,47,1,0,0,4,11,21,8,1,3,0,0,0,0,48
3509205,Cajamar,48,91,1,5,17,36,51,17,6,2,0,3,1,0,139
3509254,Cajati,3,0,1,0,1,0,1,0,0,0,0,0,0,0,3
3509304,Cajobi,231,3,2,1,24,68,88,27,5,6,4,3,5,1,234
3509403,Cajuru,3,0,1,0,1,0,1,0,0,0,0,0,0,0,3
3509452,Campina do Monte Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3509502,Campinas,11241,34,57,145,1167,4243,3757,1057,363,200,102,73,45,66,11275
3509601,Campo Limpo Paulista,102,4,3,3,9,36,36,8,4,2,0,2,1,2,106
3509700,Campos do Jordão,0,4,1,1,1,1,0,0,0,0,0,0,0,0,4
3509809,Campos Novos Paulista,207,0,1,2,34,84,70,13,2,0,1,0,0,0,207
3509908,Cananéia,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2
3509957,Canas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510005,Cândido Mota,53,7,3,7,5,14,13,8,2,0,2,0,4,2,60
3510104,Cândido Rodrigues,53,0,0,0,0,0,5,12,12,12,8,3,1,0,53
3510153,Canitar,53,6,0,0,2,30,15,7,3,1,1,0,0,0,59
3510203,Capão Bonito,18,9,0,0,9,10,4,2,0,0,0,0,1,1,27
3510302,Capela do Alto,10,13,0,0,2,2,10,5,1,2,0,0,0,1,23
3510401,Capivari,126,1,1,1,10,40,59,13,2,0,1,0,0,0,127
3510500,Caraguatatuba,217,7,16,4,13,35,41,38,23,11,5,10,21,7,224
3510609,Carapicuíba,148,4,2,3,26,51,47,16,3,2,0,0,2,0,152
3510708,Cardoso,223,1,13,23,81,80,15,1,2,0,1,2,4,2,224
3510807,Casa Branca,4,1,1,0,0,0,3,0,1,0,0,0,0,0,5
3510906,Cássia dos Coqueiros,11,5,1,0,3,5,5,2,0,0,0,0,0,0,16
3511003,Castilho,570,1,5,30,83,160,162,29,20,20,10,6,18,28,571
3511102,Catanduva,3695,36,40,95,611,1293,1010,355,113,80,34,45,26,29,3731
3511201,Catiguá,258,3,0,8,40,119,72,13,2,0,2,0,3,2,261
3511300,Cedral,731,115,26,19,85,243,278,80,51,28,8,12,8,8,846
3511409,Cerqueira César,11,1,0,0,0,6,3,0,1,1,0,0,1,0,12
3511508,Cerquilho,220,27,0,0,41,92,90,9,8,2,1,1,2,1,247
3511607,Cesário Lange,175,3,0,2,17,15,43,35,47,18,0,1,0,0,178
3511706,Charqueada,555,4,0,11,88,300,116,27,9,5,2,0,1,0,559
3511904,Clementina,240,3,6,21,115,50,45,6,0,0,0,0,0,0,243
3512001,Colina,156,8,2,4,21,32,86,7,2,4,1,4,0,1,164
3512100,Colômbia,210,4,0,0,31,55,54,66,7,0,1,0,0,0,214
3512209,Conchal,33,1,2,1,1,7,20,2,1,0,0,0,0,0,34
3512308,Conchas,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2
3512407,Cordeirópolis,546,3,12,10,61,136,165,84,27,20,5,14,10,5,549
3512506,Coroados,469,7,3,34,176,177,66,11,4,2,0,1,0,2,476
3512605,Coronel Macedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3512704,Corumbataí,18,3,0,0,4,3,6,6,1,0,0,0,0,1,21
3512803,Cosmópolis,505,8,1,6,79,217,168,31,7,2,1,0,1,0,513
3512902,Cosmorama,233,4,184,30,1,1,1,0,0,0,0,3,7,10,237
3513009,Cotia,246,13,0,2,25,124,96,6,4,0,2,0,0,0,259
3513108,Cravinhos,51,0,0,1,5,18,16,9,1,0,0,0,0,1,51
3513207,Cristais Paulista,56,4,0,2,16,24,15,3,0,0,0,0,0,0,60
3513306,Cruzália,26,0,0,1,5,16,2,1,0,1,0,0,0,0,26
3513405,Cruzeiro,15,0,4,0,3,1,3,0,0,1,0,1,0,2,15
3513504,Cubatão,47,0,10,3,1,3,10,3,3,4,3,2,2,3,47
3513603,Cunha,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3513702,Descalvado,842,6,3,6,101,330,309,75,21,1,0,2,0,0,848
3513801,Diadema,154,21,1,5,21,58,68,7,3,2,0,8,2,0,175
3513850,Dirce Reis,235,7,24,79,99,29,8,3,0,0,0,0,0,0,242
3513900,Divinolândia,7,4,0,0,0,10,1,0,0,0,0,0,0,0,11
3514007,Dobrada,256,15,0,1,11,66,141,44,4,3,1,0,0,0,271
3514106,Dois Córregos,58,4,0,0,3,30,21,3,1,1,2,0,1,0,62
3514205,Dolcinópolis,216,5,0,4,49,64,94,4,5,1,0,0,0,0,221
