CD_MUN,NM_MUN_x,Classificação_incidência,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3511300,Cedral,Alta,9452,846,895.0
3511409,Cerqueira César,Baixa,20391,12,6.0
3511508,Cerquilho,Baixa,50631,247,49.0
3511607,Cesário Lange,Baixa,18595,178,96.0
3511706,Charqueada,Alta,17539,559,319.0
3511904,Clementina,Média,8894,243,273.0
3512001,Colina,Baixa,18601,164,88.0
3512100,Colômbia,Alta,6223,214,344.0
3512209,Conchal,Baixa,28491,34,12.0
3512308,Conchas,Baixa,18138,2,1.0
3512407,Cordeirópolis,Média,25116,549,219.0
3512506,Coroados,Alta,6197,476,768.0
3512605,Coronel Macedo,Baixa,4591,0,0.0
3512704,Corumbataí,Baixa,4072,21,52.0
3512803,Cosmópolis,Baixa,74662,513,69.0
3512902,Cosmorama,Alta,7289,237,325.0
3513009,Cotia,Baixa,257882,259,10.0
3513108,Cravinhos,Baixa,35858,51,14.0
3513207,Cristais Paulista,Baixa,8803,60,68.0
3513306,Cruzália,Média,2021,26,129.0
3513405,Cruzeiro,Baixa,82895,15,2.0
3513504,Cubatão,Baixa,132521,47,4.0
3513603,Cunha,Baixa,21373,1,0.0
3513702,Descalvado,Média,34097,848,249.0
3513801,Diadema,Baixa,429550,175,4.0
3513850,Dirce Reis,Alta,1805,242,1341.0
3513900,Divinolândia,Baixa,11027,11,10.0
3514007,Dobrada,Média,9088,271,298.0
3514106,Dois Córregos,Baixa,27704,62,22.0
3514205,Dolcinópolis,Alta,2108,221,1048.0
3514304,Dourado,Média,8883,218,245.0
3514403,Dracena,Alta,47287,1771,375.0
3514502,Duartina,Alta,12421,671,540.0
3514601,Dumont,Média,10174,210,206.0
3514700,Echaporã,Baixa,6026,36,60.0
3514809,Eldorado,Baixa,15592,0,0.0
3514908,Elias Fausto,Baixa,18095,11,6.0
3514924,Elisiário,Alta,3742,183,489.0
3514957,Embaúba,Alta,2446,253,1034.0
3515004,Embu das Artes,Baixa,279264,56,2.0
3515103,Embu-Guaçu,Baixa,70402,7,1.0
3515129,Emilianópolis,Baixa,3238,21,65.0
3515152,Engenheiro Coelho,Baixa,21712,43,20.0
3515186,Espírito Santo do Pinhal,Média,44607,682,153.0
3515194,Espírito Santo do Turvo,Alta,4926,192,390.0
3515202,Estrela d'Oeste,Alta,8420,370,439.0
3515301,Estrela do Norte,Média,2774,37,133.0
3515350,Euclides da Cunha Paulista,Alta,9280,654,705.0
3515400,Fartura,Baixa,16102,77,48.0
3515509,Fernandópolis,Média,69680,915,131.0
3515608,Fernando Prestes,Média,5805,70,121.0
3515657,Fernão,Média,1739,24,138.0
3515707,Ferraz de Vasconcelos,Baixa,198661,198,10.0
3515806,Flora Rica,Baixa,1397,0,0.0
3515905,Floreal,Alta,2884,299,1037.0
3516002,Flórida Paulista,Média,14936,231,155.0
3516101,Florínea,Baixa,2631,8,30.0
3516200,Franca,Média,358539,7109,198.0
3516309,Francisco Morato,Baixa,179372,52,3.0
3516408,Franco da Rocha,Baixa,158438,90,6.0
3516507,Gabriel Monteiro,Alta,2776,478,1722.0
3516606,Gália,Alta,6419,307,478.0
3516705,Garça,Alta,44429,8064,1815.0
3516804,Gastão Vidigal,Alta,4911,298,607.0
3516853,Gavião Peixoto,Alta,4841,265,547.0
3516903,General Salgado,Alta,10855,1205,1110.0
3517000,Getulina,Baixa,11485,33,29.0
