CD_MUN,NM_MUN_x,Classificação_incidência,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3548708,São Bernardo do Campo,Baixa,849874,169,2.0
3548807,São Caetano do Sul,Baixa,162763,99,6.0
3548906,São Carlos,Baixa,256915,2138,83.0
3549003,São Francisco,Alta,2813,373,1326.0
3549102,São João da Boa Vista,Baixa,92315,81,9.0
3549201,São João das Duas Pontes,Média,2555,66,258.0
3549250,São João de Iracema,Alta,1942,201,1035.0
3549300,São João do Pau d'Alho,Alta,2095,190,907.0
3549409,São Joaquim da Barra,Baixa,52737,27,5.0
3549508,São José da Bela Vista,Baixa,8991,10,11.0
3549607,São José do Barreiro,Baixa,4141,0,0.0
3549706,São José do Rio Pardo,Baixa,55298,413,75.0
3549805,São José do Rio Preto,Alta,469173,20313,433.0
3549904,São José dos Campos,Baixa,737310,1698,23.0
3549953,São Lourenço da Serra,Baixa,16127,0,0.0
3550001,São Luiz do Paraitinga,Baixa,10693,7,7.0
3550100,São Manuel,Baixa,41287,109,26.0
3550209,São Miguel Arcanjo,Baixa,33071,2,1.0
3550308,São Paulo,Baixa,12396372,11947,10.0
3550407,São Pedro,Baixa,36298,267,74.0
3550506,São Pedro do Turvo,Média,7724,143,185.0
3550605,São Roque,Baixa,93076,38,4.0
3550704,São Sebastião,Média,91637,1098,120.0
3550803,São Sebastião da Grama,Baixa,12137,3,2.0
3550902,São Simão,Baixa,15446,20,13.0
3551009,São Vicente,Baixa,370839,174,5.0
3551108,Sarapuí,Baixa,10493,0,0.0
3551207,Sarutaiá,Média,3623,66,182.0
3551306,Sebastianópolis do Sul,Alta,3595,124,345.0
3551405,Serra Azul,Baixa,15292,136,89.0
3551504,Serrana,Baixa,46166,54,12.0
3551603,Serra Negra,Baixa,29669,17,6.0
3551702,Sertãozinho,Média,128432,3362,262.0
3551801,Sete Barras,Baixa,12731,0,0.0
3551900,Severínia,Média,17820,323,181.0
3552007,Silveiras,Baixa,6375,1,2.0
3552106,Socorro,Baixa,41690,44,11.0
3552205,Sorocaba,Baixa,695328,1102,16.0
3552304,Sud Mennucci,Média,7738,154,199.0
3552403,Sumaré,Baixa,289875,1008,35.0
3552502,Suzano,Baixa,303397,448,15.0
3552551,Suzanápolis,Alta,4063,345,849.0
3552601,Tabapuã,Média,12561,203,162.0
3552700,Tabatinga,Baixa,16787,100,60.0
3552809,Taboão da Serra,Baixa,297528,78,3.0
3552908,Taciba,Média,6371,114,179.0
3553005,Taguaí,Baixa,14415,3,2.0
3553104,Taiaçu,Baixa,6346,8,13.0
3553203,Taiúva,Baixa,5562,53,95.0
3553302,Tambaú,Baixa,23255,23,10.0
3553401,Tanabi,Alta,26231,1597,609.0
3553500,Tapiraí,Baixa,7725,1,1.0
3553609,Tapiratiba,Baixa,12940,1,1.0
3553658,Taquaral,Alta,2815,222,789.0
3553708,Taquaritinga,Baixa,57547,558,97.0
3553807,Taquarituba,Baixa,23292,10,4.0
3553856,Taquarivaí,Baixa,5968,8,13.0
3553906,Tarabai,Média,7609,224,294.0
3553955,Tarumã,Baixa,15361,92,60.0
3554003,Tatuí,Baixa,124134,24,2.0
3554102,Taubaté,Baixa,320820,1540,48.0
3554201,Tejupá,Baixa,4452,0,0.0
3554300,Teodoro Sampaio,Alta,23395,3627,1550.0
3554409,Terra Roxa,Média,9502,122,128.0
3554508,Tietê,Baixa,42946,283,66.0
3554607,Timburi,Baixa,2647,0,0.0
3554656,Torre de Pedra,Baixa,2432,1,4.0
3554706,Torrinha,Baixa,10100,12,12.0
3554755,Trabiju,Média,1752,18,103.0
3554805,Tremembé,Baixa,48228,286,59.0
3554904,Três Fronteiras,Alta,5856,296,505.0
3554953,Tuiuti,Baixa,7058,0,0.0
3555000,Tupã,Alta,65615,3095,472.0
3555109,Tupi Paulista,Alta,15670,1309,835.0
3555208,Turiúba,Média,2024,45,222.0
3555307,Turmalina,Alta,1667,106,636.0
3555356,Ubarana,Alta,6488,544,838.0
3555406,Ubatuba,Baixa,92819,169,18.0
3555505,Ubirajara,Baixa,4828,2,4.0
3555604,Uchoa,Média,10191,279,274.0
3555703,União Paulista,Média,1886,52,276.0
3555802,Urânia,Alta,9125,1659,1818.0
3555901,Uru,Baixa,1142,3,26.0
3556008,Urupês,Baixa,13965,86,62.0
3556107,Valentim Gentil,Média,13732,241,176.0
3556206,Valinhos,Baixa,133169,1129,85.0
3556305,Valparaíso,Média,27154,271,100.0
3556354,Vargem,Baixa,10842,0,0.0
3556404,Vargem Grande do Sul,Baixa,43368,9,2.0
3556453,Vargem Grande Paulista,Baixa,54315,14,3.0
3556503,Várzea Paulista,Baixa,124269,767,62.0
3556602,Vera Cruz,Alta,10804,1104,1022.0
3556701,Vinhedo,Baixa,81516,221,27.0
3556800,Viradouro,Média,19133,304,159.0
3556909,Vista Alegre do Alto,Média,9163,146,159.0
3556958,Vitória Brasil,Alta,1852,83,448.0
3557006,Votorantim,Baixa,124468,660,53.0
3557105,Votuporanga,Alta,96106,10053,1046.0
3557154,Zacarias,Alta,2784,120,431.0
3557204,Chavantes,Baixa,12418,113,91.0
