CD_MUN,NM_MUN_x,V00001,V00002,V00004,V00111,V00112,V00113,V00114,V00119,V00120,V00121,V00122,V00127,V00128,V00135,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00397,V00398,V00399,V00463,V00464,V00465,V00466,Cluster
3500105,Adamantina,-0.0666224324296599,-0.0667927686966402,-0.0666224324296599,-0.0633260043222245,-0.1859022775153292,-0.2500819790191368,-0.3706739623367942,-0.0533576808390925,-0.194817681254707,-0.2502159367667125,-0.3730214827633906,-0.1132815244816748,-0.1327357773337912,-0.0792224911989856,-0.0679416028744589,1.31260622837236,-0.2238313912990037,-0.0582759182368212,-0.1867455313035102,-0.320599493563159,-0.2899416537964573,-0.1710793604503309,-0.0930144675840972,-0.0600549885739184,-0.1215679650182167,-0.3472039964371384,-0.2755473915675329,-0.2877798015062628,-0.4061130042836963,-0.2848531637884754,0
3500204,Adolfo,-0.1349762007864799,-0.0667927686966402,-0.1349762007864799,-0.1310994030578685,-0.3507789402385133,-0.2927886626339005,-0.3706739623367942,-0.152977108286421,-0.4769999697433587,-0.2940456168869091,-0.3730214827633906,-0.1720729513680584,-0.0437971903153807,-0.0865711376942075,-0.1346891470589284,-0.2127758358796952,-0.2238313912990037,-0.1291293371292267,-0.1415182236759876,-0.3324702870897956,-0.4530295407325589,-0.1710793604503309,-0.0930144675840972,-0.131650367691873,-0.1421185204112423,-0.6713344588868122,-0.1812276871962864,-0.4556238144008482,-0.2772418861436304,-0.4572743388503443,0
3500303,Aguaí,-0.0785930890177847,-0.0667927686966402,-0.0785930890177847,-0.077498752465303,-0.0867799981400816,0.0120486997197574,-0.2196226549304406,-0.0711041612813835,-0.0289193028575326,0.0188076170744943,-0.2185096063296019,-0.1707664752150277,-0.1683112121411553,-0.0844640613294638,-0.0782449536521804,-0.2228443643566064,-0.200050575329927,-0.0731905113375776,-0.1905144736058038,-0.2379435978962074,-0.1803360293778627,-0.1710793604503309,-0.0930144675840972,-0.0754734104097031,-0.1230002764547003,1.222802931053469,-0.1712240821872148,-0.1028347005054367,-0.197055412634256,-0.0857000236007353,5
3500402,Águas da Prata,-0.1282079330461889,-0.0667927686966402,-0.1282079330461889,-0.124820337424859,-0.4714922111608445,-0.2942613068964786,0.0471692646444176,-0.1441937691820045,-0.633595635333215,-0.2955569851669158,0.054394487111895,-0.1684801419472239,-0.1683112121411553,-0.0849690631028321,-0.127944822024181,-0.1775359862105058,-0.2238313912990037,-0.1230858323577241,-0.1726119976699094,-0.3219184706216741,-0.3625718868449236,-0.1710793604503309,-0.0855964967841003,-0.1248311632376723,-0.1371988419989725,-0.6561408434594838,-0.2483947494000528,-0.366951505701822,-0.3517007544023351,-0.3630441617816485,0
3500501,Águas de Lindóia,-0.1054424629943119,-0.0667927686966402,-0.1054424629943119,-0.1024934846947664,-0.4175147322931354,-0.2765895757455419,0.0864033704642498,-0.1161086603158864,-0.5622748371437755,-0.2774205658068345,0.0804809078085086,-0.1495362377282781,-0.1445942556029125,-0.0733017807525983,-0.1050555142975574,-0.2379471570719733,-0.2238313912990037,-0.1000343518085892,-0.1679008197920425,-0.3087287000365223,-0.2780567065703446,-0.1633530151783507,-0.091009610611125,-0.1014653597401905,-0.1232493740958279,-0.6865280743141406,-0.0997697606938462,-0.3682182529689509,-0.0681842944941901,-0.3690588539349695,0
3500550,Águas de Santa Bárbara,-0.1289134389208125,-0.0667927686966402,-0.1289134389208125,-0.1258388771035776,-0.2781546959437774,-0.3060424609971031,-0.2647418766232475,-0.1455512760446113,-0.3359088254990329,-0.3076479314069701,-0.2646625044851491,-0.1528024281108549,-0.1683112121411553,-0.0863447575889044,-0.1286290289117641,-0.2379471570719733,-0.200050575329927,-0.1283162551619763,-0.1848610601523635,0.0619038534062444,-0.4259582720508579,-0.1710793604503309,-0.091009610611125,-0.1259468051428632,-0.1364515490755898,-0.468752919855766,-0.2626856136987265,-0.3283157140543891,-0.3803387806556831,-0.3256194106054289,0
3500600,Águas de São Pedro,-0.1378269033855685,-0.0667927686966402,-0.1378269033855685,-0.1328471245520333,-0.5176184203750686,-0.3119330380474153,-0.3706739623367942,-0.1576160059096339,-0.7064668856572074,-0.3136934045269972,-0.3730214827633906,-0.1710930942532854,-0.1683112121411553,-0.0829142283008506,-0.1375122191749225,-0.2379471570719733,-0.2238313912990037,-0.1311317031679776,-0.1905144736058038,-0.3799534611963423,-0.4556706401161395,-0.1710793604503309,-0.0930144675840972,-0.1343830635944755,-0.1439244783094172,-0.8232706131600968,-0.2812637372870024,-0.5278284086271982,-0.4175682147850355,-0.5327921403309304,0
3500709,Agudos,-0.0702589423850366,0.0379221048131587,-0.0702589423850366,-0.0683608311431629,-0.0426166063392287,-0.2706989986952297,-0.1941204861475497,-0.0568278639448293,0.0439519474664598,-0.2713750926868074,-0.1944298333788816,-0.1639074754116163,-0.1683112121411553,-0.084725269143275,-0.0699424767978111,-0.1926387789258727,-0.2059957793221962,-0.0642587452495738,-0.1735542332454828,-0.1315461151759825,-0.3969061788314713,-0.1479003246343904,-0.0841930969030198,-0.0633705760337274,-0.1332755541512131,0.3871540825504037,-0.0354608713498145,-0.2523108780266523,0.0721420341472149,-0.2420820195870816,0
3500758,Alambari,-0.1321713847483424,-0.0667927686966402,-0.1321713847483424,-0.1294037659790926,-0.1957163645821854,-0.304569816734525,-0.2882823401151468,-0.1515207101954123,-0.2971475221352071,-0.3061365631269633,-0.2887422774358695,-0.1292858573563015,0.211160092470729,-0.0865711376942075,-0.1318833238560668,-0.2379471570719733,-0.2238313912990037,-0.1313016008924776,-0.1905144736058038,-0.2489350733838339,0.0078423017022546,-0.1710793604503309,-0.0930144675840972,-0.1291433072307698,-0.1384443302046104,-0.5345919200408561,-0.2398202308208486,-0.3055142632460681,-0.3345179386503263,-0.3409902905528048,0
3500808,Alfredo Marcondes,-0.1345402784574442,-0.0667927686966402,-0.1345402784574442,-0.1307290249928799,-0.3547045750652557,-0.2692263544326516,-0.3647888464638194,-0.152392751027683,-0.4490918313214042,-0.2698637244068006,-0.3670015395257105,-0.1720729513680584,-0.1683112121411553,-0.0865711376942075,-0.1342464249551982,-0.2379471570719733,-0.2238313912990037,-0.1292810315261018,-0.1839188245767901,-0.3016941557244413,-0.4081308512116889,-0.1710793604503309,-0.0930144675840972,-0.1319700179006637,-0.1382575069737647,-0.5345919200408561,-0.256969267979257,-0.4112876600513351,-0.3688835701543439,-0.409825100751923,0
