CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3500105.0,Adamantina,Q4 - Muito Alta,0,3863.0,35153.0,1358.0,-0.0664831767238129,-0.0667407404596891,-0.1340228900034767,-0.0664831767238129,-0.0733736616424292,-0.0671707277439621,-0.1296200287508863,-0.0578062346872696,-0.1209488865665691,-0.0796767739016702,-0.0685675418243559,0.0,-0.1330760004842141,-0.063189088049718,-0.185666078643837,-0.2498564810668863,-0.3703918680773265,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.0531866885000233,-0.1945351332695806,-0.2499898021002287,-0.3727379052801403,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1131791980156658,-0.1325747316139593,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0791494919077398,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.0678037884458754,1.3139089664672152,-0.2236491254629158,-0.0581381495105293,-0.1866032277371741,-0.3203042522049195,-0.2897123458396459,-0.1709428109585523,-0.0929476723792201,-0.0929491478597567,-0.1259528137032291,-0.0599171877194142,-0.1214419662060546,-0.3465392287541393,0.3654667949076535,-0.0831909325924258,0.3207139286797842,-0.275812420536335,-0.2872477602108439,-0.4067314154126142,-0.284317480794321,-0.09861677200824,-0.1910220806837898,-0.1102228763425796,-0.1567041589536615,-0.069892143914999,-0.2006237304318446,-0.2522785002244725,-0.3656330188073701,-0.2169407791728451,-0.1859452544214937,-0.1495184173906625,-0.0965611843008465,-0.0745312378905793,0.7876063546843776,-0.2208237118027508,-0.0646367953876285,-0.1792052425330023,-0.3146694055946303,-0.2866376889567727,-0.1694558107457319,-0.0936425680263462,-0.0990556970831124,-0.1283539803726417,-0.0667986568925041,-0.1256684323699171,-0.3625258388774958,0.2489161309125877,-0.0864906429515554,0.2281997523239741,-0.275468240278237,-0.2880252579026606,-0.2561981778939027,-0.3291916292656637
3500204.0,Adolfo,Q4 - Muito Alta,0,4965.0,3545.0,176.0,-0.1348891974659846,-0.0667407404596891,-0.1708606982166514,-0.1348891974659846,-0.138681344057954,-0.0740222821917047,-0.1665852075343382,-0.1583150849603304,-0.1738155912357293,-0.0870059346164904,-0.0735945638919544,0.0,-0.1330760004842141,-0.1310143350661277,-0.350663341768529,-0.2925940374507381,-0.3703918680773265,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.1528819923953932,-0.4769201869918024,-0.2938511588986978,-0.3727379052801403,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1720155763816879,-0.0435690742435439,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0865037991230995,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1346023606611969,-0.2126033680403239,-0.2236491254629158,-0.1290457980812047,-0.1413419819815223,-0.3321832380840164,-0.4529167897642987,-0.1709428109585523,-0.0929476723792201,-0.0929491478597567,-0.1259528137032291,-0.1315673527051389,-0.1420081547043887,-0.6708452673615044,-0.4684698184724285,-0.0831909325924258,-0.2723843937005901,-0.1814195953262522,-0.4551948610760612,-0.2777644363181275,-0.4568444263887629,0.0739179963786898,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.1345873671009059,-0.3744867533557434,-0.2847504810209773,-0.3690231720346156,-0.2333679689552453,-0.1859452544214937,-0.1495184173906625,-0.0965611843008465,-0.1383881765084108,-0.2145979962112588,-0.2264212527053174,-0.1326450853834054,-0.1515976013653956,-0.325867596952401,-0.4321740133095096,-0.1752137578958341,-0.0936425680263462,-0.0990556970831124,-0.1283539803726417,-0.1353474937278648,-0.1438820063308362,-0.6955670950582132,-0.5262381992226617,-0.0864906429515554,-0.266997406781248,-0.1998626186088639,-0.4442981737721999,-0.2216548039292512,-0.386740453621276
3500303.0,Aguaí,Q1 - Baixa,0,16.0,36981.0,6.0,-0.0784629841660309,-0.0667407404596891,-0.1185122339137189,-0.0784629841660309,-0.0787836629912596,-0.0685410386335106,-0.1201638202248869,-0.072089679828278,-0.1792624638380064,-0.0849044454067907,-0.0618648457342244,0.0,-0.1330760004842141,-0.0773726786861442,-0.0864712954557782,0.0124636925995141,-0.2192372901967971,-0.1599528607533664,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.0709466857827108,-0.0285175467405821,0.0192281810076154,-0.2181205387014104,-0.1514033260852989,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1707081013068874,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0843950996608755,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.0781150160632288,-0.2226793570469743,-0.1998507775418434,-0.0730641579190863,-0.1903749982168118,-0.2375913134912079,-0.1800283875744947,-0.1709428109585523,-0.0929476723792201,-0.0637546636388981,-0.1259528137032291,-0.0753474079649611,-0.1228753672226051,1.2243181457502852,0.5739509482526741,-0.0831909325924258,0.8963681827548535,-0.1714082350766979,-0.1021890679367176,-0.197518315992669,-0.0850421715418261,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.0779336669916869,-0.0538608143199704,0.0100342196472919,-0.2151102155176684,-0.1512320200432442,-0.1859452544214937,-0.1495184173906625,-0.0916604498532597,-0.0784001711360905,-0.1955601930734855,-0.213360323932662,-0.0731813616473984,-0.1838549505191255,-0.2202215021692229,-0.174118560576597,-0.1752137578958341,-0.0927785260817491,-0.0563102913937587,-0.1283539803726417,-0.0761142498323981,-0.1209888743245424,1.3998924843707323,0.8831333101141554,-0.0822261117660068,0.8151000890412745,-0.1779892941007434,-0.075554612951406,-0.1832732773018607,0.0411867018435336
3500402.0,Águas da Prata,Q1 - Baixa,0,0.0,8262.0,0.0,-0.1281157557880655,-0.0667407404596891,-0.0748885136612752,-0.1281157557880655,-0.132376894928072,-0.0671707277439621,-0.0814793308003442,-0.148585266165646,-0.1770196339429511,-0.0854081081099419,-0.0735945638919544,0.0,-0.1330760004842141,-0.1247304657968249,-0.4714649094133927,-0.2940677462915605,0.0477370291766053,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.1440919633451472,-0.633628376145343,-0.2953636194779553,0.0549698749960864,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1684200199259865,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.084900490441078,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1278528796371145,-0.1773374065170474,-0.2236491254629158,-0.122997667741529,-0.1724590884385329,-0.3216241395248191,-0.362394486858722,-0.1709428109585523,-0.085523990313189,-0.0743708397192104,-0.1259528137032291,-0.1247429300924743,-0.1370847338214542,-0.6556434218017841,-0.4684698184724285,-0.0831909325924258,-0.2374962570899798,-0.2486387284304021,-0.3664680908076445,-0.3522786909060532,-0.362556444494126,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.1287437582728096,-0.4888703210688347,-0.2974348485196119,0.0262686942622135,-0.2333679689552453,-0.1859452544214937,-0.1495184173906625,-0.0965611843008465,-0.1321223283902597,-0.1792420760982512,-0.2264212527053174,-0.1270709378395825,-0.1672903658185615,-0.3199738120272585,-0.3515859889291135,-0.17192350238149,-0.0868631619995077,-0.081640902172635,-0.1283539803726417,-0.1289997212694575,-0.1392942043255669,-0.6631630809433325,-0.6201962998451162,-0.0864906429515554,-0.2329362265253333,-0.2507418734429704,-0.37124112596597,-0.1986258879528169,-0.3129599095756192
3500501.0,Águas de Lindóia,Q2 - Moderada,0,116.0,18908.0,22.0,-0.1053328828900475,-0.0667407404596891,-0.0584084415659076,-0.1053328828900475,-0.1095414048471801,-0.0740222821917047,-0.0599879477867094,-0.1199383316705103,-0.1552321435338427,-0.0737370275403705,-0.0735945638919544,0.0,-0.1330760004842141,-0.1023865324871752,-0.4174479482713805,-0.2763832402016909,0.0869979584962233,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.1159854630862233,-0.5622563296001661,-0.2772140925268647,0.0810741057171706,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1494616313413794,-0.1444421525966813,-0.1266984914605746,0.099624155492073,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0732242206915731,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1049460731947685,-0.23779334055695,-0.2236491254629158,-0.099928544086481,-0.1677443753389859,-0.3084252663258226,-0.2778189045819789,-0.1632106447273454,-0.0909412718208333,-0.0849870157995225,-0.1259528137032291,-0.1013592467284909,-0.1231246543559183,-0.6860471129212247,-0.4684698184724285,-0.0831909325924258,-0.2462182912426324,-0.0998985190084534,-0.3677356160971933,-0.0685513368981823,-0.3685748263171879,-0.09861677200824,-0.1910220806837898,-0.1102228763425796,-0.1567041589536615,-0.1064146990906005,-0.4184804332453939,-0.2654702424230526,0.0662725023437108,-0.2169407791728451,-0.1859452544214937,-0.1317755872002483,-0.0950909639665704,-0.1091518941941269,-0.2295562701052235,-0.2264212527053174,-0.1039256566025919,-0.1603158038393766,-0.298019463181103,-0.2712151829432737,-0.1579399164455275,-0.090851047897648,-0.0792661574121153,-0.1283539803726417,-0.1055248060324145,-0.1255537373197854,-0.6649633039497148,-0.4792591489114344,-0.0864906429515554,-0.191014773902669,-0.1152223629035281,-0.3597854350377741,-0.1794351246391216,-0.3336184619084031
3500550.0,Águas de Santa Bárbara,Q3 - Alta,0,814.0,6142.0,50.0,-0.1288218009799164,-0.0667407404596891,-0.1708606982166514,-0.1288218009799164,-0.1326216227713137,-0.0685410386335106,-0.1665852075343382,-0.1494835401128701,-0.1613198246775642,-0.0867801547840433,-0.0735945638919544,0.0,-0.0985675495411755,-0.1257497846829054,-0.277985975868367,-0.3058574170181404,-0.2643873589143578,-0.1599528607533664,-0.164485532732563,-0.1327057850919971,-0.084805973575895,-0.1454505041707226,-0.3357276601306915,-0.3074633041120158,-0.2643049469002518,-0.1514033260852989,-0.1540601341789224,-0.1278979037360483,-0.0821654878314602,-0.1527303190283806,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0862772446354226,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1285376095960794,-0.23779334055695,-0.1998507775418434,-0.1282320937985576,-0.1847173424973553,0.0624630705659797,-0.4258261735662794,-0.1709428109585523,-0.0909412718208333,-0.0929491478597567,-0.1259528137032291,-0.1258594257037374,-0.1363368724215148,-0.4681539932319012,-0.120996229564061,-0.0831909325924258,-0.2723843937005901,-0.262940671644051,-0.3278085694764058,-0.3809380195937169,-0.3251087353728518,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.1293889171816002,-0.2762928598420434,-0.3045380943188474,-0.2849473719989264,-0.1265912353696438,-0.1859452544214937,-0.1211298890859998,-0.0887200091847076,-0.1323285846519452,-0.2200373685363368,-0.2077627830300954,-0.1318033129988397,-0.1815300965260639,0.0224550921235164,-0.4071938979355324,-0.1752137578958341,-0.0919809489021211,-0.0927230443883933,-0.1283539803726417,-0.1296629213770523,-0.138307826894434,-0.4579376582157554,-0.1269162715772301,-0.0864906429515554,-0.2591371344144985,-0.2745172261691883,-0.3215277502398371,-0.2561981778939027,-0.289350135481009
3500600.0,Águas de São Pedro,Q2 - Moderada,0,669.0,3588.0,24.0,-0.1377420792574472,-0.0667407404596891,-0.1708606982166514,-0.1377420792574472,-0.1420858765320779,-0.0740222821917047,-0.1665852075343382,-0.1644429141646609,-0.1795828681087286,-0.0833587219384993,-0.0735945638919544,0.0,-0.1330760004842141,-0.1327633936092885,-0.5176248580256577,-0.3117522523814303,-0.3703918680773265,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.157524423296035,-0.7065519889197629,-0.313513146429046,-0.3727379052801403,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1710349700755875,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0828440727837025,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1374275909960856,-0.23779334055695,-0.2236491254629158,-0.1310496966877238,-0.1903749982168118,-0.3796991816004039,-0.4555597767104469,-0.1709428109585523,-0.0929476723792201,-0.0929491478597567,-0.1259528137032291,-0.1343021397080082,-0.143815486420909,-0.8228637229587068,-0.4684698184724285,-0.0831909325924258,-0.2723843937005901,-0.2815331978217946,-0.5274438025803434,-0.4181951468876797,-0.5324085537227626,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.1369033782344964,-0.534271798714954,-0.3126560895179735,-0.3690231720346156,-0.2333679689552453,-0.1859452544214937,-0.1495184173906625,-0.0965611843008465,-0.1417729503185971,-0.2295562701052235,-0.2264212527053174,-0.135276488919815,-0.1864704112613198,-0.3681555037902979,-0.4369528179897488,-0.1752137578958341,-0.0936425680263462,-0.0990556970831124,-0.1283539803726417,-0.1386919171275928,-0.1456712491128912,-0.8359844895560291,-0.6201962998451162,-0.0864906429515554,-0.266997406781248,-0.2883069307503947,-0.5143291900124913,-0.2561981778939027,-0.4398624453341489
3500709.0,Agudos,Q3 - Alta,0,692.0,37582.0,260.0,-0.0701224665744915,0.0380550394614619,-0.0370812894424906,-0.0701224665744915,-0.0670973670431856,0.0232697909662402,-0.0479527732990739,-0.0590869420971733,-0.1725339741528406,-0.0851649605980758,-0.0710810528581551,0.0,-0.1330760004842141,-0.0682277666343202,-0.04227559997595,-0.270488404838401,-0.1937176861390454,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0879197581126088,-0.0566595147163948,0.0444060660338377,-0.2711642502098345,-0.1940243257281019,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0855105024842385,-0.1638438571641848,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0846565086851182,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.0698061920233525,-0.1924513900270231,-0.2058003645221115,-0.0641255556500074,-0.1734020310584423,-0.1311204030193026,-0.396753317158649,-0.1477463122649317,-0.0841195099223183,-0.0823329717794445,-0.1259528137032291,-0.0632353123169322,-0.1331584614717722,0.3882166399656721,0.017993205999286,-0.0831909325924258,-0.2200521887846747,-0.0355397745470332,-0.2517570521034772,0.0718793736713699,-0.2415200989414362,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.065142024762819,-0.0292243535817662,-0.2654702424230526,-0.2022276332541354,-0.2169407791728451,-0.1859452544214937,-0.0962899268194199,-0.0936207436322944,-0.0667477779101317,-0.1547649006353999,-0.2152261709001842,-0.0604948140104229,-0.1623500510833056,-0.1282784573370011,-0.3754800123303091,-0.1497142776596672,-0.0847362895204995,-0.081640902172635,-0.1283539803726417,-0.0596953100258013,-0.1342935001398234,0.4799785281093998,-0.197384847044071,-0.0811599789696197,-0.2224558633696672,-0.0386657271251063,-0.2389603175120861,0.0316632718115263,-0.2214720349590047
3500758.0,Alambari,Q1 - Baixa,0,16.0,6231.0,1.0,-0.1320822373130165,-0.0667407404596891,-0.166983034194212,-0.1320822373130165,-0.1348263390936153,-0.0740222821917047,-0.159707964969975,-0.1555135375011662,-0.1177448438593473,-0.0870059346164904,-0.0735945638919544,0.0,-0.1330760004842141,-0.129317400784187,-0.1954873443060211,-0.3043837081773179,-0.2879439165061286,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.1514244850196104,-0.2969385043996171,-0.3059508435327582,-0.2884011598735603,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1291957676819718,0.2115804768849802,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0865037991230995,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1317943924261141,-0.23779334055695,-0.2236491254629158,-0.1312197244482769,-0.1903749982168118,-0.2485903744903717,0.0082844323385661,-0.1709428109585523,-0.0929476723792201,-0.0929491478597567,-0.1259528137032291,-0.129058373803424,-0.1383311694880199,-0.5340286573240223,-0.4684698184724285,-0.0831909325924258,-0.2723843937005901,-0.2400575625022127,-0.3049931142645272,-0.3350830936934549,-0.3404890444762323,-0.09861677200824,0.4568009669438576,-0.1102228763425796,-0.1567041589536615,-0.1319651788580588,-0.2041432248230166,-0.3025085955190658,-0.2849473719989264,-0.2333679689552453,-0.1859452544214937,-0.1495184173906625,-0.0950909639665704,-0.1345409544483402,-0.2064389377236416,-0.2208237118027508,-0.1340957013557118,-0.1809488830277985,-0.244680709608564,-0.0088153623192346,-0.172746066260076,-0.0936425680263462,-0.0990556970831124,-0.1283539803726417,-0.1317851617213556,-0.1399364966063046,-0.5191452404327521,-0.502748674067048,-0.0864906429515554,-0.2538969528366654,-0.2398052111889101,-0.299913239054562,-0.2370074145802074,-0.2539354743390937
3500808.0,Alfredo Marcondes,Q4 - Muito Alta,0,7260.0,4201.0,305.0,-0.1344529419002882,-0.0667407404596891,-0.1582582901437232,-0.1344529419002882,-0.1385059196747453,-0.0740222821917047,-0.155409688367248,-0.1574345986160217,-0.1805440809208952,-0.0870059346164904,-0.0735945638919544,0.0,-0.1330760004842141,-0.1306436736530075,-0.3545918480334026,-0.2690146959975785,-0.3645027286793837,-0.2223664089602153,-0.164485532732563,-0.1327057850919971,-0.0925904349176796,-0.1522971900532581,-0.4489919948654288,-0.2696517896305769,-0.3667138520368131,-0.2184741676546793,-0.1540601341789224,-0.1278979037360483,-0.0905280244634058,-0.1720155763816879,-0.1681769945621254,-0.1266984914605746,-0.1580934125255223,-0.0935591730708734,-0.0552088932690561,-0.0895718287462348,-0.0953054745005674,-0.0865037991230995,-0.1161875800681943,-0.0642393127990735,-0.1115696798577558,-0.1039026051139667,-0.055771138653316,-0.0821468503122062,-0.1036746932086556,-0.1341593000995138,-0.23779334055695,-0.2236491254629158,-0.1291976085816986,-0.1837743998774459,-0.3013858672863578,-0.4079860116797789,-0.1709428109585523,-0.0929476723792201,-0.0823329717794445,-0.1259528137032291,-0.1318872475151076,-0.138144204138035,-0.5340286573240223,-0.4684698184724285,-0.0831909325924258,0.0328868016422496,-0.2572198943585914,-0.4108314759418529,-0.3694742881186514,-0.4093660808957188,-0.09861677200824,-0.2580382580245809,-0.1102228763425796,-0.1567041589536615,-0.1344342785462776,-0.3850452365292595,-0.2776472352217419,-0.3574966510619808,-0.2333679689552453,-0.1859452544214937,-0.1495184173906625,-0.0946008905218118,-0.1381971180765338,-0.2295562701052235,-0.2264212527053174,-0.1330625122371216,-0.1780428155364715,-0.2986088416736172,-0.4006773460988427,-0.1711009385029039,-0.0936425680263462,-0.0919314628015535,-0.1283539803726417,-0.1359277938220102,-0.1405329108669896,-0.5911541606880424,-0.2913429476665255,-0.0864906429515554,0.0185924892106525,-0.2673846203513229,-0.4123086972179927,-0.2408455672429465,-0.3882160645021891
