CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3500105.0,Adamantina,Q4 - Muito Alta,8,3863.0,35153.0,1358.0,-0.06662243242965997,-0.06679276869664023,-0.13410735739984667,-0.06662243242965997,-0.0735096758990909,-0.0672209585068984,-0.1297101179379797,-0.05798014163163676,-0.12105977584568892,-0.0797501528562721,-0.06862492598390343,-0.13318111145524414,-0.06332600432222452,-0.18590227751532923,-0.25008197901913687,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.05335768083909256,-0.19481768125470703,-0.2502159367667125,-0.3730214827633906,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.11328152448167488,-0.1327357773337912,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.07922249119898565,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.06794160287445891,1.31260622837236,-0.22383139129900373,-0.05827591823682125,-0.18674553130351026,-0.320599493563159,-0.2899416537964573,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.12605211779798167,-0.06005498857391843,-0.12156796501821679,-0.3472039964371384,0.36451862002522395,-0.08325594412704426,0.3200982534518946,-0.2755473915675329,-0.28777980150626287,-0.4061130042836963,-0.2848531637884754,-0.09869405333472189,-0.191284202690262,-0.11030946041571611,-0.15682876650646943,-0.07002577939989725,-0.20085301578953438,-0.25250857751953043,-0.3659108083792232,-0.21714381610142044,-0.18609456152645137,-0.1496033323508948,-0.09663682465758595,-0.0746658952622867,0.7867066034144196,-0.22101257456675474,-0.06477120509773927,-0.17933763170165776,-0.3149589795407949,-0.28685187406855,-0.16960030128202272,-0.0937090169742709,-0.09913332905254249,-0.12845523850377924,-0.06693289259433285,-0.12579392616335952,-0.3631896252369673,0.2478348304327526,-0.0865582707511094,0.227682514190681,-0.2752078256120608,-0.2885430630681657,-0.25589764286390554,-0.32957984588754724
3500204.0,Adolfo,Q4 - Muito Alta,0,4965.0,3545.0,176.0,-0.13497620078647993,-0.06679276869664023,-0.1709170127340741,-0.13497620078647993,-0.13876748872765235,-0.07406722262608528,-0.1666470564534667,-0.15841258498697186,-0.17388618525373578,-0.08707367270154143,-0.07364806932819491,-0.13318111145524414,-0.1310994030578685,-0.3507789402385133,-0.2927886626339005,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.15297710828642108,-0.47699996974335873,-0.2940456168869091,-0.3730214827633906,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.17207295136805845,-0.04379719031538078,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.0865711376942075,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.13468914705892848,-0.21277583587969523,-0.22383139129900373,-0.12912933712922672,-0.14151822367598763,-0.33247028708979565,-0.45302954073255897,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.12605211779798167,-0.13165036769187305,-0.1421185204112423,-0.6713344588868122,-0.46891330173658996,-0.08325594412704426,-0.27256802065453906,-0.18122768719628643,-0.4556238144008482,-0.2772418861436304,-0.45727433885034435,0.07370821704745052,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.1346715612049115,-0.3745891187154334,-0.2849571519845715,-0.3692986376151314,-0.23355896078616217,-0.18609456152645137,-0.1496033323508948,-0.09663682465758595,-0.13847406839600487,-0.2147523833748145,-0.226605997247992,-0.132727495651771,-0.15175076475848046,-0.32614941608825543,-0.4322836150581159,-0.1753539203166574,-0.0937090169742709,-0.09913332905254249,-0.12845523850377924,-0.13542932864771084,-0.14399366218559534,-0.6960517503243343,-0.5269497850948817,-0.0865582707511094,-0.26715008521709216,-0.19966078189700223,-0.44471919589756437,-0.22138093962817834,-0.3870908225872036
3500303.0,Aguaí,Q1 - Baixa,8,16.0,36981.0,6.0,-0.07859308901778478,-0.06679276869664023,-0.11860855515385617,-0.07859308901778478,-0.07891554611781902,-0.06859021133073577,-0.12026113366657605,-0.07225272848489472,-0.1793289062230497,-0.08497380089756609,-0.06192740152484813,-0.13318111145524414,-0.077498752465303,-0.08677999814008167,0.012048699719757427,-0.21962265493044061,-0.16017998936533545,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.07110416128138355,-0.02891930285753266,0.018807617074494302,-0.2185096063296019,-0.15163051541647934,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.17076647521502772,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.0844640613294638,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.07824495365218047,-0.22284436435660648,-0.20005057532992704,-0.07319051133757767,-0.19051447360580384,-0.23794359789620745,-0.1803360293778627,-0.1710793604503309,-0.0930144675840972,-0.06384986958384074,-0.12605211779798167,-0.07547341040970311,-0.12300027645470038,1.222802931053469,0.5728766004656775,-0.08325594412704426,0.8953331665551978,-0.17122408218721483,-0.10283470050543679,-0.19705541263425605,-0.08570002360073538,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.07806115698413893,-0.05419723659904879,0.009615063080879905,-0.21549119030489894,-0.15148323736245353,-0.18609456152645137,-0.1496033323508948,-0.09173985525241585,-0.07853187392828309,-0.1957287391210163,-0.21355467765843844,-0.07330923814405103,-0.183983840871035,-0.22057648181813402,-0.17441360267661699,-0.1753539203166574,-0.09284563974921584,-0.05642074680270395,-0.12845523850377924,-0.07624136441624418,-0.12111792345739465,1.3982807556307753,0.8817495158644534,-0.08229702193685152,0.8141507801554493,-0.17780440447000415,-0.07620400556982691,-0.18302904714403706,0.04055490158972819
3500402.0,Águas da Prata,Q1 - Baixa,0,0.0,8262.0,0.0,-0.12820793304618897,-0.06679276869664023,-0.07501817383700793,-0.12820793304618897,-0.13246785373697278,-0.0672209585068984,-0.08160619801083382,-0.1486901628092233,-0.17708778582392046,-0.085477075958023,-0.07364806932819491,-0.13318111145524414,-0.12482033742485904,-0.4714922111608445,-0.2942613068964786,0.04716926464441769,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.14419376918200452,-0.633595635333215,-0.29555698516691586,0.054394487111895005,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.1684801419472239,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.08496906310283213,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.12794482202418106,-0.17753598621050584,-0.22383139129900373,-0.12308583235772413,-0.17261199766990945,-0.32191847062167417,-0.36257188684492364,-0.1710793604503309,-0.08559649678410032,-0.07445788403388742,-0.12605211779798167,-0.12483116323767234,-0.13719884199897253,-0.6561408434594838,-0.46891330173658996,-0.08325594412704426,-0.23770529864827825,-0.24839474940005285,-0.366951505701822,-0.3517007544023351,-0.36304416178164856,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.12883241817932167,-0.4888891864298406,-0.2976323763849782,0.025722251291765155,-0.23355896078616217,-0.18609456152645137,-0.1496033323508948,-0.09663682465758595,-0.13221300530393665,-0.1794227583320464,-0.226605997247992,-0.12715761012601243,-0.1674317207051286,-0.3202597126422236,-0.3517535017638936,-0.17206613801115186,-0.08693482643922339,-0.08173190665446012,-0.12845523850377924,-0.1290864086165076,-0.1394093458071984,-0.6636651651806986,-0.620863071825504,-0.0865582707511094,-0.23311398049592258,-0.25050061634675863,-0.37170739382794227,-0.19836980413769356,-0.3133588011773878
3500501.0,Águas de Lindóia,Q2 - Moderada,0,116.0,18908.0,22.0,-0.10544246299431194,-0.06679276869664023,-0.05855069645064303,-0.10544246299431194,-0.10964980106032374,-0.07406722262608528,-0.060131233757643704,-0.12006500573927069,-0.15531690194666475,-0.07381497800536664,-0.07364806932819491,-0.13318111145524414,-0.10249348469476643,-0.4175147322931354,-0.2765895757455419,0.0864033704642498,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.11610866031588644,-0.5622748371437755,-0.2774205658068345,0.08048090780850868,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.1495362377282781,-0.14459425560291256,-0.12679840201214815,0.09930352821109031,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.07330178075259838,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.10505551429755747,-0.23794715707197336,-0.22383139129900373,-0.10003435180858922,-0.1679008197920425,-0.30872870003652236,-0.27805670657034465,-0.16335301517835074,-0.09100961061112507,-0.0850658984839341,-0.12605211779798167,-0.10146535974019052,-0.12324937409582797,-0.6865280743141406,-0.46891330173658996,-0.08325594412704426,-0.24642097914984343,-0.09976976069384628,-0.36821825296895094,-0.06818429449419017,-0.36905885393496957,-0.09869405333472189,-0.191284202690262,-0.11030946041571611,-0.15682876650646943,-0.10652042330983362,-0.4185506832209746,-0.26569081089595337,0.06569863627548196,-0.21714381610142044,-0.18609456152645137,-0.1318740352999993,-0.09516773383603491,-0.10926011288741488,-0.22969953243137023,-0.226605997247992,-0.10403002587424863,-0.16046240695106276,-0.2983205673057548,-0.27144045076965573,-0.1580930632127534,-0.09091964440101605,-0.07935898541835798,-0.12845523850377924,-0.10562943830708398,-0.1256793182538996,-0.6654644199109007,-0.4799931417295705,-0.0865582707511094,-0.19122339006986772,-0.115086104027314,-0.36025879764542756,-0.17919385789562292,-0.3340037671721362
3500550.0,Águas de Santa Bárbara,Q3 - Alta,0,814.0,6142.0,50.0,-0.1289134389208125,-0.06679276869664023,-0.1709170127340741,-0.1289134389208125,-0.13271239470363264,-0.06859021133073577,-0.1666470564534667,-0.14958775388779058,-0.16139994303001562,-0.0868480666399573,-0.07364806932819491,-0.09869894751373627,-0.12583887710357763,-0.27815469594377745,-0.3060424609971031,-0.26474187662324755,-0.16017998936533545,-0.1646166472978524,-0.13275952710987762,-0.08488443447831868,-0.14555127604461138,-0.3359088254990329,-0.3076479314069701,-0.26466250448514916,-0.15163051541647934,-0.15418254090073533,-0.12794648479596343,-0.08224275470039989,-0.15280242811085495,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.08634475758890446,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.12862902891176414,-0.23794715707197336,-0.20005057532992704,-0.12831625516197637,-0.1848610601523635,0.06190385340624449,-0.4259582720508579,-0.1710793604503309,-0.09100961061112507,-0.0930219093214691,-0.12605211779798167,-0.12594680514286327,-0.1364515490755898,-0.46875291985576606,-0.12165000100250081,-0.08325594412704426,-0.27256802065453906,-0.26268561369872656,-0.32831571405438914,-0.3803387806556831,-0.3256194106054289,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.1294770840447966,-0.2764669067390653,-0.304730502049206,-0.2852804725646079,-0.12686052033534095,-0.18609456152645137,-0.12123645706946201,-0.08880167360931378,-0.13241910405436855,-0.22018771030447112,-0.2079612549772012,-0.13188636689012356,-0.18166073628634638,0.021932057572228592,-0.4073214505599068,-0.1753539203166574,-0.0920486761568573,-0.09280553908960344,-0.12845523850377924,-0.129749101754096,-0.1384237177858431,-0.4585501259376724,-0.12781831648973674,-0.0865582707511094,-0.2592955995122069,-0.2742575483326261,-0.322024806620803,-0.25589764286390554,-0.2897645543262467
3500600.0,Águas de São Pedro,Q2 - Moderada,0,669.0,3588.0,24.0,-0.13782690338556858,-0.06679276869664023,-0.1709170127340741,-0.13782690338556858,-0.14216942146738037,-0.07406722262608528,-0.1666470564534667,-0.16453575581006946,-0.17964906628006816,-0.08342926709133631,-0.07364806932819491,-0.13318111145524414,-0.13284712455203335,-0.5176184203750686,-0.3119330380474153,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.15761600590963393,-0.7064668856572074,-0.31369340452699723,-0.3730214827633906,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.1710930942532854,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.08291422830085066,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.1375122191749225,-0.23794715707197336,-0.22383139129900373,-0.1311317031679776,-0.19051447360580384,-0.3799534611963423,-0.45567064011613956,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.12605211779798167,-0.13438306359447552,-0.14392447830941726,-0.8232706131600968,-0.46891330173658996,-0.08325594412704426,-0.27256802065453906,-0.2812637372870024,-0.5278284086271982,-0.4175682147850355,-0.5327921403309304,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.13698580239656555,-0.5342575209995591,-0.31284264566546627,-0.3692986376151314,-0.23355896078616217,-0.18609456152645137,-0.1496033323508948,-0.09663682465758595,-0.141856257363619,-0.22969953243137023,-0.226605997247992,-0.13535688720530453,-0.1865973335288097,-0.3684080383135342,-0.4370589856577733,-0.1753539203166574,-0.0937090169742709,-0.09913332905254249,-0.12845523850377924,-0.13877119547012093,-0.14578154557317013,-0.8363936192800892,-0.620863071825504,-0.0865582707511094,-0.26715008521709216,-0.2880365688844293,-0.5147068404850127,-0.25589764286390554,-0.440177878002271
3500709.0,Agudos,Q3 - Alta,8,692.0,37582.0,260.0,-0.07025894238503665,0.03792210481315874,-0.03723984336240611,-0.07025894238503665,-0.06723817393997396,0.023149727866368607,-0.04810525377585724,-0.05925987544662378,-0.17260554502566192,-0.08523411558400931,-0.07113649765604918,-0.13318111145524414,-0.06836083114316298,-0.04261660633922879,-0.2706989986952297,-0.19412048614754976,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.08799582500189859,-0.0568278639448293,0.04395194746645982,-0.2713750926868074,-0.1944298333788816,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.0855851965801839,-0.1639074754116163,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.084725269143275,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.0699424767978111,-0.19263877892587272,-0.2059957793221962,-0.06425874524957383,-0.17355423324548283,-0.13154611517598255,-0.39690617883147133,-0.14790032463439043,-0.08419309690301983,-0.08241389487142242,-0.12605211779798167,-0.06337057603372741,-0.13327555415121314,0.38715408255040373,0.017255319291134833,-0.08325594412704426,-0.22027393764514783,-0.035460871349814585,-0.25231087802665236,0.07214203414721491,-0.2420820195870816,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.06527929038358696,-0.029578760475945695,-0.26569081089595337,-0.20261743920844777,-0.21714381610142044,-0.18609456152645137,-0.09641544119820833,-0.09369864301448388,-0.06688837925914583,-0.15496378714859158,-0.21541915188551752,-0.06063239069796169,-0.1624951234626653,-0.1286971080600367,-0.37563035476218054,-0.1498736074489896,-0.08480959019293398,-0.08173190665446012,-0.12845523850377924,-0.05983497573851997,-0.13441244095474575,0.47886158849756133,-0.1982532815377035,-0.08123170973328706,-0.22264133288940885,-0.03858878303282071,-0.23950850960720646,0.031741550767154195,-0.22193109462921615
3500758.0,Alambari,Q1 - Baixa,0,16.0,6231.0,1.0,-0.1321713847483424,-0.06679276869664023,-0.16704231217257645,-0.1321713847483424,-0.13491542748292215,-0.07406722262608528,-0.15977506789244586,-0.15561316726668775,-0.11785817527550425,-0.08707367270154143,-0.07364806932819491,-0.13318111145524414,-0.12940376597909267,-0.19571636458218541,-0.304569816734525,-0.2882823401151468,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.15152071019541238,-0.2971475221352071,-0.3061365631269633,-0.2887422774358695,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.12928585735630152,0.21116009247072903,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.0865711376942075,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.13188332385606683,-0.23794715707197336,-0.22383139129900373,-0.13130160089247767,-0.19051447360580384,-0.24893507338383397,0.007842301702254615,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.12605211779798167,-0.12914330723076983,-0.13844433020461044,-0.5345919200408561,-0.46891330173658996,-0.08325594412704426,-0.27256802065453906,-0.23982023082084863,-0.3055142632460681,-0.3345179386503263,-0.34099029055280483,-0.09869405333472189,0.4560699278603103,-0.11030946041571611,-0.15682876650646943,-0.13205137689065918,-0.20436994094997768,-0.3027024661451409,-0.2852804725646079,-0.23355896078616217,-0.18609456152645137,-0.1496033323508948,-0.09516773383603491,-0.1346297843353171,-0.20659939298032956,-0.22101257456675474,-0.13417700247663744,-0.18107996014017422,-0.24501875111916632,-0.009229192388468302,-0.17288808358752825,-0.0937090169742709,-0.09913332905254249,-0.12845523850377924,-0.1318697197943789,-0.140051150100174,-0.5197247867645399,-0.5034714634122262,-0.0865582707511094,-0.25405927570895004,-0.23957242763325962,-0.3004236817481338,-0.23672169662183487,-0.25437318404953513
3500808.0,Alfredo Marcondes,Q4 - Muito Alta,0,7260.0,4201.0,305.0,-0.13454027845744423,-0.06679276869664023,-0.1583242359092068,-0.13454027845744423,-0.13859219830022362,-0.07406722262608528,-0.15548007504180783,-0.1575327679891683,-0.18060954645112356,-0.08707367270154143,-0.07364806932819491,-0.13318111145524414,-0.13072902499287992,-0.35470457506525577,-0.26922635443265164,-0.3647888464638194,-0.2225475305692508,-0.1646166472978524,-0.13275952710987762,-0.09266291078726846,-0.15239275102768302,-0.4490918313214042,-0.2698637244068006,-0.3670015395257105,-0.21865182765272692,-0.15418254090073533,-0.12794648479596343,-0.09059885939985994,-0.17207295136805845,-0.16831121214115533,-0.12679840201214815,-0.15821917850545533,-0.093632420337103,-0.055251871442178864,-0.08964190350816117,-0.09538011336631716,-0.0865711376942075,-0.11627897155393396,-0.06428937467579754,-0.11165734778986844,-0.10398411512397698,-0.05581455721859474,-0.08221103490529011,-0.1037560206141391,-0.13424642495519826,-0.23794715707197336,-0.22383139129900373,-0.1292810315261018,-0.1839188245767901,-0.30169415572444136,-0.4081308512116889,-0.1710793604503309,-0.0930144675840972,-0.08241389487142242,-0.12605211779798167,-0.1319700179006637,-0.13825750697376477,-0.5345919200408561,-0.46891330173658996,-0.08325594412704426,0.03248079690024299,-0.25696926797925707,-0.4112876600513351,-0.3688835701543439,-0.409825100751923,-0.09869405333472189,-0.2582518713679074,-0.11030946041571611,-0.15682876650646943,-0.13451858964361235,-0.38513989419676325,-0.27785902632034376,-0.3577800182130435,-0.23355896078616217,-0.18609456152645137,-0.1496033323508948,-0.0946780368955179,-0.138283155869289,-0.22969953243137023,-0.226605997247992,-0.1331446033390537,-0.17817607940931346,-0.298909537650358,-0.400809581560374,-0.17124419243477548,-0.0937090169742709,-0.09201456534423606,-0.12845523850377924,-0.1360091851431007,-0.14064711122936557,-0.5916949759726192,-0.2921665682683258,-0.0865582707511094,0.018229562060406653,-0.2671304687368659,-0.41274953108601387,-0.240556885870249,-0.3885654630153999
