CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3500907.0,Altair,Q3 - Alta,0,926.0,4211.0,39.0,1278,0,11,1278,3439,0,11,1271,0,0,5,0,0,1072,183,13,3,0,0,0,0,1071,179,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,4,1111,0,50,110,0,0,0,0,1164,5,71,7,0,19,68,133,66,127,0,0,0,0,2822,554,46,11,0,0,3,0,3426,7,4,2940,0,171,320,7,0,0,0,3107,17,207,38,0,63,212,402,24,48
3501004.0,Altinópolis,Q1 - Baixa,0,62.0,16221.0,10.0,6076,0,19,6076,16768,3,22,6036,10,28,0,0,0,5544,183,8,326,0,0,0,0,5508,180,8,326,0,0,0,0,7,3,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6073,0,0,5508,19,355,184,0,0,0,0,5664,146,227,11,0,17,139,387,136,384,0,3,0,0,15233,517,29,972,0,0,0,0,16762,0,0,15158,69,1033,500,0,0,0,0,15584,443,645,30,3,55,380,1147,43,168
3501103.0,Alto Alegre,Q4 - Muito Alta,0,8313.0,4078.0,339.0,1515,0,0,1515,3831,0,0,1509,6,0,0,0,0,1233,259,8,0,0,0,0,0,1227,259,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,1216,38,226,24,0,0,0,0,1267,139,95,7,0,0,42,227,42,227,0,0,0,0,3085,705,26,6,0,0,3,0,3824,7,0,3040,130,582,68,5,0,0,0,3172,373,262,21,0,0,142,602,6,43
3501152.0,Alumínio,Q1 - Baixa,0,37.0,18903.0,7.0,5941,0,24,5941,17263,0,24,5840,39,56,0,0,0,5404,237,164,44,32,0,8,23,5340,215,161,43,32,0,8,10,3,22,0,0,0,0,0,13,56,0,0,0,0,0,0,0,5922,9,0,4354,27,1242,100,0,152,32,0,5071,855,0,0,0,0,110,412,109,376,0,36,0,0,15781,673,465,132,108,0,17,70,17211,45,0,12718,101,3528,329,0,468,105,0,14845,2399,8,3,0,0,324,1152,26,148
3501202.0,Álvares Florence,Q4 - Muito Alta,0,12113.0,3616.0,438.0,1530,7,0,1530,3897,14,0,1530,0,0,0,0,0,1052,440,25,3,0,0,0,0,1052,440,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,1040,6,93,380,0,0,0,0,1085,180,245,10,0,0,21,451,21,451,0,0,0,0,2614,1183,76,11,6,0,0,0,3897,0,0,2596,28,255,1015,0,0,0,0,2705,472,678,30,0,11,67,1212,0,100
3501301.0,Álvares Machado,Q3 - Alta,8,2624.0,25078.0,658.0,9869,0,39,9869,27208,4,42,9158,277,422,0,0,0,8919,847,59,13,0,0,0,0,8280,777,59,13,0,0,0,0,204,66,0,0,0,0,0,0,422,0,0,0,0,0,0,0,9854,3,0,8773,39,533,458,5,4,0,0,8941,508,343,10,0,42,28,891,25,823,0,67,0,0,24654,2288,181,49,0,0,0,25,27177,11,11,24264,128,1472,1265,18,28,8,0,24786,1279,971,28,3,127,111,2427,4,213
3501400.0,Álvaro de Carvalho,Q3 - Alta,0,2011.0,5320.0,107.0,1168,0,1657,1168,3151,0,1657,1168,0,0,0,0,0,1073,71,9,11,0,0,0,0,1073,71,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,1079,4,52,17,0,0,4,0,1115,3,32,4,0,5,57,34,57,34,0,0,0,0,2889,212,23,27,0,0,0,0,3149,0,0,2913,23,149,51,3,0,11,0,3009,14,88,17,0,17,170,92,15,11
3501509.0,Alvinlândia,Q2 - Moderada,0,492.0,3251.0,16.0,1007,0,0,1007,2885,0,0,1005,0,0,0,0,0,939,51,5,10,0,0,0,0,937,51,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,938,8,51,5,0,0,0,0,962,36,6,0,0,0,3,62,3,62,0,0,0,0,2695,148,16,24,0,0,0,0,2885,0,0,2690,26,147,16,0,0,3,0,2757,105,22,0,0,0,10,176,4,12
3501608.0,Americana,Q3 - Alta,7,1764.0,244370.0,4310.0,89200,3,515,89200,236501,38,618,64724,1416,22875,49,0,3,85373,3234,118,49,233,7,23,17,63568,634,117,39,231,7,18,13,1280,131,0,0,0,0,0,0,20360,2451,0,0,0,0,0,4,88556,87,510,87278,356,640,622,3,164,12,0,84905,4128,28,0,11,3,2365,1339,143,945,84,46,2126,327,226284,8588,392,203,753,34,85,92,234578,310,1590,230837,1106,1957,1942,21,505,60,0,225329,10911,84,3,66,30,6155,4002,776,535
3501707.0,Américo Brasiliense,Q4 - Muito Alta,8,8208.0,41545.0,3410.0,11402,3,76,11402,32901,10,86,11256,37,91,3,0,0,11331,38,11,8,0,0,0,0,11185,38,11,8,0,0,0,0,37,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,11395,0,0,11312,6,53,14,0,3,0,0,11355,23,11,0,0,0,19,41,19,41,0,0,0,0,32681,152,39,20,7,0,0,0,32884,8,3,32633,23,169,51,4,12,0,0,32779,85,26,0,0,0,94,124,6,7
