CD_MUN,NM_MUN_x,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639,Cluster
3500105,Adamantina,-0.0666224324296599,-0.0667927686966402,-0.1341073573998466,-0.0666224324296599,-0.0735096758990909,-0.0672209585068984,-0.1297101179379797,-0.0579801416316367,-0.1210597758456889,-0.0797501528562721,-0.0686249259839034,0.0,-0.1331811114552441,-0.0633260043222245,-0.1859022775153292,-0.2500819790191368,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.0533576808390925,-0.194817681254707,-0.2502159367667125,-0.3730214827633906,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1132815244816748,-0.1327357773337912,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0792224911989856,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.0679416028744589,1.31260622837236,-0.2238313912990037,-0.0582759182368212,-0.1867455313035102,-0.320599493563159,-0.2899416537964573,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.1260521177979816,-0.0600549885739184,-0.1215679650182167,-0.3472039964371384,0.3645186200252239,-0.0832559441270442,0.3200982534518946,-0.2755473915675329,-0.2877798015062628,-0.4061130042836963,-0.2848531637884754,-0.0986940533347218,-0.191284202690262,-0.1103094604157161,-0.1568287665064694,-0.0700257793998972,-0.2008530157895343,-0.2525085775195304,-0.3659108083792232,-0.2171438161014204,-0.1860945615264513,-0.1496033323508948,-0.0966368246575859,-0.0746658952622867,0.7867066034144196,-0.2210125745667547,-0.0647712050977392,-0.1793376317016577,-0.3149589795407949,-0.28685187406855,-0.1696003012820227,-0.0937090169742709,-0.0991333290525424,-0.1284552385037792,-0.0669328925943328,-0.1257939261633595,-0.3631896252369673,0.2478348304327526,-0.0865582707511094,0.227682514190681,-0.2752078256120608,-0.2885430630681657,-0.2558976428639055,-0.3295798458875472,0
3500204,Adolfo,-0.1349762007864799,-0.0667927686966402,-0.1709170127340741,-0.1349762007864799,-0.1387674887276523,-0.0740672226260852,-0.1666470564534667,-0.1584125849869718,-0.1738861852537357,-0.0870736727015414,-0.0736480693281949,0.0,-0.1331811114552441,-0.1310994030578685,-0.3507789402385133,-0.2927886626339005,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.152977108286421,-0.4769999697433587,-0.2940456168869091,-0.3730214827633906,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1720729513680584,-0.0437971903153807,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0865711376942075,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1346891470589284,-0.2127758358796952,-0.2238313912990037,-0.1291293371292267,-0.1415182236759876,-0.3324702870897956,-0.4530295407325589,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.1260521177979816,-0.131650367691873,-0.1421185204112423,-0.6713344588868122,-0.4689133017365899,-0.0832559441270442,-0.272568020654539,-0.1812276871962864,-0.4556238144008482,-0.2772418861436304,-0.4572743388503443,0.0737082170474505,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.1346715612049115,-0.3745891187154334,-0.2849571519845715,-0.3692986376151314,-0.2335589607861621,-0.1860945615264513,-0.1496033323508948,-0.0966368246575859,-0.1384740683960048,-0.2147523833748145,-0.226605997247992,-0.132727495651771,-0.1517507647584804,-0.3261494160882554,-0.4322836150581159,-0.1753539203166574,-0.0937090169742709,-0.0991333290525424,-0.1284552385037792,-0.1354293286477108,-0.1439936621855953,-0.6960517503243343,-0.5269497850948817,-0.0865582707511094,-0.2671500852170921,-0.1996607818970022,-0.4447191958975643,-0.2213809396281783,-0.3870908225872036,0
3500303,Aguaí,-0.0785930890177847,-0.0667927686966402,-0.1186085551538561,-0.0785930890177847,-0.078915546117819,-0.0685902113307357,-0.120261133666576,-0.0722527284848947,-0.1793289062230497,-0.084973800897566,-0.0619274015248481,0.0,-0.1331811114552441,-0.077498752465303,-0.0867799981400816,0.0120486997197574,-0.2196226549304406,-0.1601799893653354,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.0711041612813835,-0.0289193028575326,0.0188076170744943,-0.2185096063296019,-0.1516305154164793,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1707664752150277,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0844640613294638,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.0782449536521804,-0.2228443643566064,-0.200050575329927,-0.0731905113375776,-0.1905144736058038,-0.2379435978962074,-0.1803360293778627,-0.1710793604503309,-0.0930144675840972,-0.0638498695838407,-0.1260521177979816,-0.0754734104097031,-0.1230002764547003,1.222802931053469,0.5728766004656775,-0.0832559441270442,0.8953331665551978,-0.1712240821872148,-0.1028347005054367,-0.197055412634256,-0.0857000236007353,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.0780611569841389,-0.0541972365990487,0.0096150630808799,-0.2154911903048989,-0.1514832373624535,-0.1860945615264513,-0.1496033323508948,-0.0917398552524158,-0.078531873928283,-0.1957287391210163,-0.2135546776584384,-0.073309238144051,-0.183983840871035,-0.220576481818134,-0.1744136026766169,-0.1753539203166574,-0.0928456397492158,-0.0564207468027039,-0.1284552385037792,-0.0762413644162441,-0.1211179234573946,1.3982807556307753,0.8817495158644534,-0.0822970219368515,0.8141507801554493,-0.1778044044700041,-0.0762040055698269,-0.183029047144037,0.0405549015897281,0
3500402,Águas da Prata,-0.1282079330461889,-0.0667927686966402,-0.0750181738370079,-0.1282079330461889,-0.1324678537369727,-0.0672209585068984,-0.0816061980108338,-0.1486901628092233,-0.1770877858239204,-0.085477075958023,-0.0736480693281949,0.0,-0.1331811114552441,-0.124820337424859,-0.4714922111608445,-0.2942613068964786,0.0471692646444176,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.1441937691820045,-0.633595635333215,-0.2955569851669158,0.054394487111895,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1684801419472239,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0849690631028321,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.127944822024181,-0.1775359862105058,-0.2238313912990037,-0.1230858323577241,-0.1726119976699094,-0.3219184706216741,-0.3625718868449236,-0.1710793604503309,-0.0855964967841003,-0.0744578840338874,-0.1260521177979816,-0.1248311632376723,-0.1371988419989725,-0.6561408434594838,-0.4689133017365899,-0.0832559441270442,-0.2377052986482782,-0.2483947494000528,-0.366951505701822,-0.3517007544023351,-0.3630441617816485,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.1288324181793216,-0.4888891864298406,-0.2976323763849782,0.0257222512917651,-0.2335589607861621,-0.1860945615264513,-0.1496033323508948,-0.0966368246575859,-0.1322130053039366,-0.1794227583320464,-0.226605997247992,-0.1271576101260124,-0.1674317207051286,-0.3202597126422236,-0.3517535017638936,-0.1720661380111518,-0.0869348264392233,-0.0817319066544601,-0.1284552385037792,-0.1290864086165076,-0.1394093458071984,-0.6636651651806986,-0.620863071825504,-0.0865582707511094,-0.2331139804959225,-0.2505006163467586,-0.3717073938279422,-0.1983698041376935,-0.3133588011773878,0
3500501,Águas de Lindóia,-0.1054424629943119,-0.0667927686966402,-0.058550696450643,-0.1054424629943119,-0.1096498010603237,-0.0740672226260852,-0.0601312337576437,-0.1200650057392706,-0.1553169019466647,-0.0738149780053666,-0.0736480693281949,0.0,-0.1331811114552441,-0.1024934846947664,-0.4175147322931354,-0.2765895757455419,0.0864033704642498,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.1161086603158864,-0.5622748371437755,-0.2774205658068345,0.0804809078085086,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1495362377282781,-0.1445942556029125,-0.1267984020121481,0.0993035282110903,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0733017807525983,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1050555142975574,-0.2379471570719733,-0.2238313912990037,-0.1000343518085892,-0.1679008197920425,-0.3087287000365223,-0.2780567065703446,-0.1633530151783507,-0.091009610611125,-0.0850658984839341,-0.1260521177979816,-0.1014653597401905,-0.1232493740958279,-0.6865280743141406,-0.4689133017365899,-0.0832559441270442,-0.2464209791498434,-0.0997697606938462,-0.3682182529689509,-0.0681842944941901,-0.3690588539349695,-0.0986940533347218,-0.191284202690262,-0.1103094604157161,-0.1568287665064694,-0.1065204233098336,-0.4185506832209746,-0.2656908108959533,0.0656986362754819,-0.2171438161014204,-0.1860945615264513,-0.1318740352999993,-0.0951677338360349,-0.1092601128874148,-0.2296995324313702,-0.226605997247992,-0.1040300258742486,-0.1604624069510627,-0.2983205673057548,-0.2714404507696557,-0.1580930632127534,-0.090919644401016,-0.0793589854183579,-0.1284552385037792,-0.1056294383070839,-0.1256793182538996,-0.6654644199109007,-0.4799931417295705,-0.0865582707511094,-0.1912233900698677,-0.115086104027314,-0.3602587976454275,-0.1791938578956229,-0.3340037671721362,0
3500550,Águas de Santa Bárbara,-0.1289134389208125,-0.0667927686966402,-0.1709170127340741,-0.1289134389208125,-0.1327123947036326,-0.0685902113307357,-0.1666470564534667,-0.1495877538877905,-0.1613999430300156,-0.0868480666399573,-0.0736480693281949,0.0,-0.0986989475137362,-0.1258388771035776,-0.2781546959437774,-0.3060424609971031,-0.2647418766232475,-0.1601799893653354,-0.1646166472978524,-0.1327595271098776,-0.0848844344783186,-0.1455512760446113,-0.3359088254990329,-0.3076479314069701,-0.2646625044851491,-0.1516305154164793,-0.1541825409007353,-0.1279464847959634,-0.0822427547003998,-0.1528024281108549,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0863447575889044,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1286290289117641,-0.2379471570719733,-0.200050575329927,-0.1283162551619763,-0.1848610601523635,0.0619038534062444,-0.4259582720508579,-0.1710793604503309,-0.091009610611125,-0.0930219093214691,-0.1260521177979816,-0.1259468051428632,-0.1364515490755898,-0.468752919855766,-0.1216500010025008,-0.0832559441270442,-0.272568020654539,-0.2626856136987265,-0.3283157140543891,-0.3803387806556831,-0.3256194106054289,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.1294770840447966,-0.2764669067390653,-0.304730502049206,-0.2852804725646079,-0.1268605203353409,-0.1860945615264513,-0.121236457069462,-0.0888016736093137,-0.1324191040543685,-0.2201877103044711,-0.2079612549772012,-0.1318863668901235,-0.1816607362863463,0.0219320575722285,-0.4073214505599068,-0.1753539203166574,-0.0920486761568573,-0.0928055390896034,-0.1284552385037792,-0.129749101754096,-0.1384237177858431,-0.4585501259376724,-0.1278183164897367,-0.0865582707511094,-0.2592955995122069,-0.2742575483326261,-0.322024806620803,-0.2558976428639055,-0.2897645543262467,0
3500600,Águas de São Pedro,-0.1378269033855685,-0.0667927686966402,-0.1709170127340741,-0.1378269033855685,-0.1421694214673803,-0.0740672226260852,-0.1666470564534667,-0.1645357558100694,-0.1796490662800681,-0.0834292670913363,-0.0736480693281949,0.0,-0.1331811114552441,-0.1328471245520333,-0.5176184203750686,-0.3119330380474153,-0.3706739623367942,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.1576160059096339,-0.7064668856572074,-0.3136934045269972,-0.3730214827633906,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1710930942532854,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0829142283008506,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1375122191749225,-0.2379471570719733,-0.2238313912990037,-0.1311317031679776,-0.1905144736058038,-0.3799534611963423,-0.4556706401161395,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.1260521177979816,-0.1343830635944755,-0.1439244783094172,-0.8232706131600968,-0.4689133017365899,-0.0832559441270442,-0.272568020654539,-0.2812637372870024,-0.5278284086271982,-0.4175682147850355,-0.5327921403309304,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.1369858023965655,-0.5342575209995591,-0.3128426456654662,-0.3692986376151314,-0.2335589607861621,-0.1860945615264513,-0.1496033323508948,-0.0966368246575859,-0.141856257363619,-0.2296995324313702,-0.226605997247992,-0.1353568872053045,-0.1865973335288097,-0.3684080383135342,-0.4370589856577733,-0.1753539203166574,-0.0937090169742709,-0.0991333290525424,-0.1284552385037792,-0.1387711954701209,-0.1457815455731701,-0.8363936192800892,-0.620863071825504,-0.0865582707511094,-0.2671500852170921,-0.2880365688844293,-0.5147068404850127,-0.2558976428639055,-0.440177878002271,0
3500709,Agudos,-0.0702589423850366,0.0379221048131587,-0.0372398433624061,-0.0702589423850366,-0.0672381739399739,0.0231497278663686,-0.0481052537758572,-0.0592598754466237,-0.1726055450256619,-0.0852341155840093,-0.0711364976560491,0.0,-0.1331811114552441,-0.0683608311431629,-0.0426166063392287,-0.2706989986952297,-0.1941204861475497,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0879958250018985,-0.0568278639448293,0.0439519474664598,-0.2713750926868074,-0.1944298333788816,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0855851965801839,-0.1639074754116163,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.084725269143275,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.0699424767978111,-0.1926387789258727,-0.2059957793221962,-0.0642587452495738,-0.1735542332454828,-0.1315461151759825,-0.3969061788314713,-0.1479003246343904,-0.0841930969030198,-0.0824138948714224,-0.1260521177979816,-0.0633705760337274,-0.1332755541512131,0.3871540825504037,0.0172553192911348,-0.0832559441270442,-0.2202739376451478,-0.0354608713498145,-0.2523108780266523,0.0721420341472149,-0.2420820195870816,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.0652792903835869,-0.0295787604759456,-0.2656908108959533,-0.2026174392084477,-0.2171438161014204,-0.1860945615264513,-0.0964154411982083,-0.0936986430144838,-0.0668883792591458,-0.1549637871485915,-0.2154191518855175,-0.0606323906979616,-0.1624951234626653,-0.1286971080600367,-0.3756303547621805,-0.1498736074489896,-0.0848095901929339,-0.0817319066544601,-0.1284552385037792,-0.0598349757385199,-0.1344124409547457,0.4788615884975613,-0.1982532815377035,-0.081231709733287,-0.2226413328894088,-0.0385887830328207,-0.2395085096072064,0.0317415507671541,-0.2219310946292161,0
3500758,Alambari,-0.1321713847483424,-0.0667927686966402,-0.1670423121725764,-0.1321713847483424,-0.1349154274829221,-0.0740672226260852,-0.1597750678924458,-0.1556131672666877,-0.1178581752755042,-0.0870736727015414,-0.0736480693281949,0.0,-0.1331811114552441,-0.1294037659790926,-0.1957163645821854,-0.304569816734525,-0.2882823401151468,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.1515207101954123,-0.2971475221352071,-0.3061365631269633,-0.2887422774358695,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1292858573563015,0.211160092470729,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0865711376942075,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1318833238560668,-0.2379471570719733,-0.2238313912990037,-0.1313016008924776,-0.1905144736058038,-0.2489350733838339,0.0078423017022546,-0.1710793604503309,-0.0930144675840972,-0.0930219093214691,-0.1260521177979816,-0.1291433072307698,-0.1384443302046104,-0.5345919200408561,-0.4689133017365899,-0.0832559441270442,-0.272568020654539,-0.2398202308208486,-0.3055142632460681,-0.3345179386503263,-0.3409902905528048,-0.0986940533347218,0.4560699278603103,-0.1103094604157161,-0.1568287665064694,-0.1320513768906591,-0.2043699409499776,-0.3027024661451409,-0.2852804725646079,-0.2335589607861621,-0.1860945615264513,-0.1496033323508948,-0.0951677338360349,-0.1346297843353171,-0.2065993929803295,-0.2210125745667547,-0.1341770024766374,-0.1810799601401742,-0.2450187511191663,-0.0092291923884683,-0.1728880835875282,-0.0937090169742709,-0.0991333290525424,-0.1284552385037792,-0.1318697197943789,-0.140051150100174,-0.5197247867645399,-0.5034714634122262,-0.0865582707511094,-0.25405927570895,-0.2395724276332596,-0.3004236817481338,-0.2367216966218348,-0.2543731840495351,0
3500808,Alfredo Marcondes,-0.1345402784574442,-0.0667927686966402,-0.1583242359092068,-0.1345402784574442,-0.1385921983002236,-0.0740672226260852,-0.1554800750418078,-0.1575327679891683,-0.1806095464511235,-0.0870736727015414,-0.0736480693281949,0.0,-0.1331811114552441,-0.1307290249928799,-0.3547045750652557,-0.2692263544326516,-0.3647888464638194,-0.2225475305692508,-0.1646166472978524,-0.1327595271098776,-0.0926629107872684,-0.152392751027683,-0.4490918313214042,-0.2698637244068006,-0.3670015395257105,-0.2186518276527269,-0.1541825409007353,-0.1279464847959634,-0.0905988593998599,-0.1720729513680584,-0.1683112121411553,-0.1267984020121481,-0.1582191785054553,-0.093632420337103,-0.0552518714421788,-0.0896419035081611,-0.0953801133663171,-0.0865711376942075,-0.1162789715539339,-0.0642893746757975,-0.1116573477898684,-0.1039841151239769,-0.0558145572185947,-0.0822110349052901,-0.1037560206141391,-0.1342464249551982,-0.2379471570719733,-0.2238313912990037,-0.1292810315261018,-0.1839188245767901,-0.3016941557244413,-0.4081308512116889,-0.1710793604503309,-0.0930144675840972,-0.0824138948714224,-0.1260521177979816,-0.1319700179006637,-0.1382575069737647,-0.5345919200408561,-0.4689133017365899,-0.0832559441270442,0.0324807969002429,-0.256969267979257,-0.4112876600513351,-0.3688835701543439,-0.409825100751923,-0.0986940533347218,-0.2582518713679074,-0.1103094604157161,-0.1568287665064694,-0.1345185896436123,-0.3851398941967632,-0.2778590263203437,-0.3577800182130435,-0.2335589607861621,-0.1860945615264513,-0.1496033323508948,-0.0946780368955179,-0.138283155869289,-0.2296995324313702,-0.226605997247992,-0.1331446033390537,-0.1781760794093134,-0.298909537650358,-0.400809581560374,-0.1712441924347754,-0.0937090169742709,-0.092014565344236,-0.1284552385037792,-0.1360091851431007,-0.1406471112293655,-0.5916949759726192,-0.2921665682683258,-0.0865582707511094,0.0182295620604066,-0.2671304687368659,-0.4127495310860138,-0.240556885870249,-0.3885654630153999,0
