ID_Distrito,Nome,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639,Regioes,Codigo_subprefeitura,Subprefeituras,Area_ha,Area_km
355030865,Raposo Tavares,42698,17,336,42698,117279,51,347,26874,859,14123,747,0,0,42417,0,6,0,0,0,0,229,26623,0,6,0,0,0,0,210,858,0,0,0,0,0,0,0,14112,0,0,0,0,0,0,0,42582,71,17,40209,166,537,138,23,1375,88,0,34651,7922,14,0,53,3,149,90,149,72,0,0,0,0,116513,44,23,7,0,0,6,666,116966,251,48,110158,599,1619,453,97,3960,318,0,95326,21669,63,0,182,16,508,242,107,46,Oeste,10,Butantã,"1222,34","12,22"
355030866,República,30046,1186,721,30046,56827,2874,1102,310,61,29356,194,0,6,29983,33,0,0,0,0,0,0,307,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,29294,33,0,0,0,0,0,0,30016,10,0,29925,3,33,0,0,5,0,0,26313,3508,0,0,45,114,12,20,0,0,0,0,12,20,56695,80,0,0,0,4,0,27,56736,74,0,56542,65,108,0,12,23,24,3,49475,6965,0,4,59,263,55,53,3,7,Centro,9,Sé,"239,7","2,4"
355030867,Rio Pequeno,48286,4,153,48286,131434,23,160,30808,867,16008,463,0,12,48059,64,0,0,0,0,3,112,30667,0,0,0,0,0,3,110,827,40,0,0,0,0,0,0,15969,23,0,0,0,0,0,0,48222,32,5,45077,173,44,28,5,2372,424,5,39432,8712,5,0,47,0,109,71,51,63,34,6,23,0,130830,221,4,4,0,0,55,295,131270,128,20,121742,667,183,118,32,7296,1290,14,106909,24284,16,5,173,11,405,178,51,25,Oeste,10,Butantã,"964,85","9,65"
355030868,Sacomã,98395,34,11,98395,261255,127,17,57365,1568,38230,991,0,3,98104,109,0,0,0,4,4,86,57230,0,0,0,0,0,4,79,1562,0,0,0,0,0,0,3,38084,107,0,0,0,4,0,0,98301,18,13,95005,116,103,196,85,2552,29,0,85124,12806,0,0,292,4,124,80,10,73,0,3,112,0,260482,354,0,4,7,21,19,311,260994,163,67,251364,569,414,638,307,7622,157,28,226941,33411,4,0,765,40,475,250,35,34,Sul,13,Ipiranga,"1454,88","14,55"
355030869,Santa Cecília,39655,54,197,39655,80543,144,272,1579,139,36744,1047,0,0,39563,0,0,0,0,0,0,59,1576,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,36698,0,0,0,0,0,0,18,39554,29,58,39584,3,0,0,0,0,0,0,36212,3296,0,0,15,15,3,59,0,0,0,0,0,18,80371,22,0,0,3,0,0,116,80341,83,106,80394,26,9,0,3,24,30,0,73648,6747,4,0,40,36,40,108,0,17,Centro,9,Sé,"375,95","3,76"
355030870,Santana,46218,321,304,46218,112423,852,365,14802,1236,29865,205,0,0,46165,18,0,3,0,0,0,0,14793,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,29824,17,0,3,0,0,0,0,46190,12,0,45992,29,4,0,0,87,0,0,44511,1599,0,0,3,0,22,0,0,0,0,0,20,0,112282,83,0,15,0,3,0,18,112368,36,3,111826,177,37,19,0,295,9,4,108217,4132,0,0,4,12,112,13,0,0,Norte,5,Santana/Tucuruvi,"1309,17","13,09"
355030871,Santo Amaro,35133,0,692,35133,84557,0,752,11227,1430,22167,238,0,0,35059,35,0,0,0,0,0,6,11210,5,0,0,0,0,0,0,1428,0,0,0,0,0,0,0,22112,30,0,0,0,0,0,6,35073,40,6,35006,17,23,0,0,0,0,0,30652,4393,0,0,6,0,39,6,8,0,0,0,31,6,84378,112,0,7,4,0,0,23,84475,60,15,84269,97,84,9,0,15,16,0,74430,10038,0,3,27,21,148,15,4,0,Sul,14,Santo Amaro,"1603,62","16,04"
355030872,São Lucas,53005,26,113,53005,137812,79,137,37007,525,15247,115,0,0,52922,7,0,47,0,0,0,3,36944,0,0,44,0,0,0,3,525,0,0,0,0,0,0,0,15232,7,0,0,0,0,0,0,52972,12,0,51982,332,50,0,0,583,0,3,51379,1554,0,0,14,0,59,3,47,3,0,0,9,0,137576,26,3,155,0,0,12,21,137729,58,3,134802,1034,192,3,6,1725,7,17,133349,4398,0,4,37,3,206,11,44,0,Leste,29,Vila Prudente,"967,44","9,67"
355030873,São Mateus,55700,14,357,55700,155217,56,388,45314,475,9578,223,0,7,55565,0,0,0,0,17,0,91,45186,0,0,0,0,17,0,90,475,0,0,0,0,0,0,0,9572,0,0,0,0,0,0,0,55564,85,19,53650,132,130,86,0,1558,18,0,52692,2923,3,0,18,3,3,107,3,106,0,0,0,0,154817,11,0,7,0,54,7,307,154795,331,65,149185,495,445,278,25,4633,93,0,146942,8159,6,4,45,18,60,329,0,72,Leste,30,São Mateus,"1280,02","12,8"
355030874,São Miguel,28931,0,325,28931,80642,18,345,26916,313,1551,84,0,5,28603,0,0,0,0,0,6,290,26590,0,0,0,0,0,6,290,313,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,28892,17,0,27158,95,45,41,17,1337,127,0,27795,1014,0,0,73,4,80,217,80,217,0,0,0,0,79741,0,0,4,10,4,33,826,80561,62,0,75397,361,185,153,65,4034,383,3,77374,3004,0,3,217,25,290,588,57,127,Leste,23,São Miguel,"862,68","8,63"
355030875,São Rafael,50409,614,107,50409,146336,1652,107,46620,261,3080,185,0,148,49653,6,0,0,0,0,0,694,45911,6,0,0,0,0,0,652,237,0,0,0,0,0,0,19,3078,0,0,0,0,0,0,0,50315,25,11,46503,49,210,382,369,2389,280,0,46538,3435,0,0,331,14,194,505,185,472,0,19,0,0,144229,44,0,7,10,12,23,1977,146086,161,58,134742,325,748,1239,1087,7227,870,0,134782,10385,9,4,1035,87,653,1420,125,321,Leste,30,São Mateus,"1307,63","13,08"
355030876,Sapopemba,94677,3,111,94677,266542,21,124,79470,807,14097,155,0,5,94447,0,0,0,0,9,88,55,79249,0,0,0,0,9,88,53,806,0,0,0,0,0,0,0,14088,0,0,0,0,0,0,0,94581,28,0,88690,480,57,124,156,4621,310,3,90862,3541,0,0,26,134,116,40,112,40,0,0,3,0,265872,46,0,22,8,32,312,210,266276,199,18,248926,1573,287,426,505,13505,1194,15,255380,10522,0,6,88,494,478,155,47,36,Leste,32,Sapopemba,"1363,29","13,63"
355030877,Saúde,55620,3,440,55620,127867,24,472,16883,916,37558,125,0,0,55397,185,0,0,0,0,0,0,16875,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,37345,184,0,0,0,0,0,0,55598,0,0,55228,83,20,0,0,147,3,0,51939,3514,0,0,0,0,184,0,0,0,0,0,183,0,127351,455,0,3,0,12,0,15,127810,30,4,126831,323,91,9,0,479,36,0,119699,8042,0,4,5,12,475,7,19,0,Sul,12,Vila Mariana,"930,71","9,31"
