CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3520608,Indiana,4873,242,234,8,1,0,4,39,111,53,25,0,1,0,2,6,497.0,Alta
3520707,Indiaporã,3876,12,5,7,0,0,1,4,2,2,2,0,1,0,0,0,31.0,Baixa
3520806,Inúbia Paulista,4045,278,278,0,1,1,24,75,59,24,28,6,3,8,13,36,687.0,Alta
3520905,Ipaussu,15165,29,18,11,0,0,1,11,11,4,0,1,0,0,0,1,19.0,Baixa
3521002,Iperó,38771,13,13,0,0,0,1,6,3,2,0,0,0,1,0,0,3.0,Baixa
3521101,Ipeúna,7824,46,46,0,2,0,5,10,15,4,6,1,2,1,0,0,59.0,Baixa
3521150,Ipiguá,5557,46,42,4,1,3,11,8,13,3,0,2,1,1,0,3,83.0,Baixa
3521200,Iporanga,4180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3521309,Ipuã,16794,83,81,2,3,0,22,18,7,9,4,0,1,6,11,2,49.0,Baixa
3521408,Iracemápolis,24982,87,82,5,5,0,5,34,33,9,0,1,0,0,0,0,35.0,Baixa
3521507,Irapuã,8101,9,8,1,0,0,1,5,3,0,0,0,0,0,0,0,11.0,Baixa
3521606,Irapuru,8356,151,150,1,1,0,2,31,27,19,20,19,3,6,7,16,181.0,Média
3521705,Itaberá,17405,8,7,1,0,0,2,2,3,1,0,0,0,0,0,0,5.0,Baixa
3521804,Itaí,27632,4,3,1,0,0,0,1,0,0,1,0,1,1,0,0,1.0,Baixa
3521903,Itajobi,15331,1218,1213,5,22,90,504,440,140,20,1,0,0,0,0,1,794.0,Alta
3522000,Itaju,3937,17,17,0,0,0,0,0,9,1,6,1,0,0,0,0,43.0,Baixa
3522109,Itanhaém,104351,98,98,0,4,1,12,25,28,17,4,0,3,2,2,0,9.0,Baixa
3522158,Itaoca,3332,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,Baixa
3522208,Itapecerica da Serra,179574,10,10,0,1,2,1,4,1,0,0,0,0,0,1,0,1.0,Baixa
3522307,Itapetininga,167106,69,66,3,2,2,8,19,23,7,3,2,0,1,1,1,4.0,Baixa
3522406,Itapeva,95241,638,595,43,0,3,39,263,290,29,8,0,0,2,2,2,67.0,Baixa
3522505,Itapevi,244131,49,45,4,0,0,2,13,26,3,4,0,1,0,0,0,2.0,Baixa
3522604,Itapira,75683,122,116,6,1,2,5,42,52,13,1,2,1,1,0,2,16.0,Baixa
3522653,Itapirapuã Paulista,4294,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,Baixa
3522703,Itápolis,43536,291,291,0,1,0,6,38,76,37,19,13,10,7,29,55,67.0,Baixa
3522802,Itaporanga,15197,473,465,8,0,10,122,219,106,11,2,3,0,0,0,0,311.0,Alta
3522901,Itapuí,14297,140,140,0,0,0,3,51,56,18,7,3,0,1,1,0,98.0,Baixa
3523008,Itapura,4994,27,27,0,6,0,0,6,5,6,1,1,1,0,0,1,54.0,Baixa
3523107,Itaquaquecetuba,379082,359,352,7,0,4,49,157,122,14,3,1,0,5,1,3,9.0,Baixa
3523206,Itararé,50778,66,65,1,1,1,5,18,34,4,1,0,0,0,2,0,13.0,Baixa
3523305,Itariri,17754,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,Baixa
3523404,Itatiba,124254,223,222,1,0,2,29,102,78,10,1,1,0,0,0,0,18.0,Baixa
3523503,Itatinga,21139,4,2,2,1,0,0,1,1,1,0,0,0,0,0,0,2.0,Baixa
3523602,Itirapina,18610,72,72,0,0,0,6,32,27,4,1,0,0,0,2,0,39.0,Baixa
3523701,Itirapuã,6587,188,184,4,0,11,85,62,26,1,0,1,1,1,0,0,285.0,Média
3523800,Itobi,7862,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3.0,Baixa
3523909,Itu,177150,503,497,6,2,3,55,161,204,48,16,3,1,1,2,7,28.0,Baixa
3524006,Itupeva,64330,161,160,1,0,7,23,81,35,11,0,0,1,2,0,1,25.0,Baixa
3524105,Ituverava,42259,514,512,2,1,1,45,138,226,62,18,7,5,3,0,8,122.0,Média
3524204,Jaborandi,6963,82,76,6,1,0,0,8,21,16,10,15,6,3,0,2,118.0,Média
3524303,Jaboticabal,78029,462,460,2,3,8,53,158,158,40,26,5,2,6,1,2,59.0,Baixa
3524402,Jacareí,237119,719,669,50,1,1,56,276,274,55,25,9,6,6,4,6,30.0,Baixa
3524501,Jaci,7322,278,278,0,8,12,42,105,51,14,14,12,3,2,6,9,380.0,Alta
3524600,Jacupiranga,17911,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,Baixa
3524709,Jaguariúna,59921,473,467,6,3,6,35,170,160,44,18,13,7,6,3,8,79.0,Baixa
3524808,Jales,49291,2684,2672,12,272,598,1017,556,197,23,7,6,4,2,0,2,545.0,Alta
3524907,Jambeiro,6828,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,3.0,Baixa
3525003,Jandira,127734,6,6,0,0,0,2,0,0,1,2,1,0,0,0,0,0.0,Baixa
3525102,Jardinópolis,45544,40,38,2,1,1,6,9,17,2,0,1,2,1,0,0,9.0,Baixa
3525201,Jarinu,31173,108,98,10,0,1,6,38,41,11,3,1,1,0,4,2,35.0,Baixa
3525300,Jaú,153463,722,713,9,4,5,77,276,279,43,21,6,3,3,2,3,47.0,Baixa
3525409,Jeriquara,3143,41,40,1,0,1,4,17,17,1,0,0,1,0,0,0,130.0,Média
3525508,Joanópolis,13453,9,8,1,0,0,0,3,0,0,3,2,0,1,0,0,7.0,Baixa
3525607,João Ramalho,4577,98,92,6,1,0,6,32,48,10,0,1,0,0,0,0,214.0,Média
3525706,José Bonifácio,37707,2764,2763,1,35,93,1007,1217,354,23,19,7,1,2,2,4,733.0,Alta
3525805,Júlio Mesquita,4824,79,79,0,2,0,0,22,42,6,2,0,0,0,2,3,164.0,Média
3525854,Jumirim,3467,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,6.0,Baixa
3525904,Jundiaí,426935,589,457,132,8,15,73,246,188,34,5,3,2,9,3,3,14.0,Baixa
3526001,Junqueirópolis,20978,1443,1439,4,10,69,415,688,211,33,6,1,0,0,4,6,688.0,Alta
3526100,Juquiá,18627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3526209,Juquitiba,31844,184,184,0,0,0,32,101,38,12,0,0,0,0,1,0,58.0,Baixa
3526308,Lagoinha,4882,19,18,1,0,0,0,10,7,2,0,0,0,0,0,0,39.0,Baixa
3526407,Laranjal Paulista,29047,72,72,0,0,0,3,7,23,8,4,0,4,1,5,17,25.0,Baixa
3526506,Lavínia,12581,110,110,0,0,0,4,28,46,8,10,7,4,1,0,2,87.0,Baixa
3526605,Lavrinhas,7361,4,4,0,0,0,0,0,2,0,1,0,0,0,0,1,5.0,Baixa
3526704,Leme,105273,87,86,1,1,2,2,19,41,10,3,4,1,1,1,2,8.0,Baixa
3526803,Lençóis Paulista,69533,146,130,16,0,0,14,41,69,10,7,2,0,0,2,1,21.0,Baixa
3526902,Limeira,310783,619,611,8,2,11,78,260,184,48,17,6,3,4,3,3,20.0,Baixa
3527009,Lindóia,8201,144,144,0,0,3,20,62,47,10,2,0,0,0,0,0,176.0,Média
3527108,Lins,78978,1729,1719,10,33,69,316,666,455,67,30,23,21,2,8,39,219.0,Média
3527207,Lorena,89532,20,20,0,1,2,2,4,7,1,2,0,1,0,0,0,2.0,Baixa
3527256,Lourdes,2311,105,90,15,49,26,9,5,2,3,5,1,0,2,2,1,454.0,Alta
3527306,Louveira,51007,119,108,11,1,2,9,41,47,13,3,0,0,0,2,1,23.0,Baixa
3527405,Lucélia,22022,212,212,0,0,1,15,53,67,30,17,7,1,8,3,10,96.0,Baixa
3527504,Lucianópolis,2412,51,46,5,0,0,5,28,18,0,0,0,0,0,0,0,211.0,Média
3527603,Luís Antônio,15628,637,631,6,0,9,180,298,118,27,3,1,0,0,1,0,408.0,Alta
3527702,Luiziânia,5918,334,334,0,9,72,188,54,8,0,2,0,0,1,0,0,564.0,Alta
3527801,Lupércio,4608,39,39,0,0,0,1,8,5,1,2,0,0,0,5,17,85.0,Baixa
3527900,Lutécia,2623,253,253,0,1,0,38,98,99,12,3,1,0,0,1,0,965.0,Alta
3528007,Macatuba,17263,76,65,11,0,0,4,19,38,13,1,0,0,0,0,1,44.0,Baixa
3528106,Macaubal,8174,83,78,5,6,6,16,33,20,2,0,0,0,0,0,0,102.0,Média
3528205,Macedônia,3686,78,73,5,1,2,3,13,13,2,3,4,15,10,4,8,212.0,Média
3528304,Magda,3086,112,111,1,5,27,16,36,24,3,1,0,0,0,0,0,363.0,Alta
3528403,Mairinque,47723,10,7,3,0,0,2,2,3,1,0,0,0,0,1,1,2.0,Baixa
3528502,Mairiporã,103645,42,29,13,0,0,1,21,10,5,1,3,1,0,0,0,4.0,Baixa
3528601,Manduri,9972,5,2,3,0,0,0,3,2,0,0,0,0,0,0,0,5.0,Baixa
3528700,Marabá Paulista,6039,276,275,1,0,0,16,153,96,9,2,0,0,0,0,0,457.0,Alta
3528809,Maracaí,14069,21,19,2,2,1,1,5,6,0,0,1,0,5,0,0,15.0,Baixa
3528858,Marapoama,3097,49,48,1,0,0,9,14,14,6,6,0,0,0,0,0,158.0,Média
3528908,Mariápolis,4098,141,139,2,0,0,2,38,58,17,9,8,1,2,3,3,344.0,Alta
3529005,Marília,242249,1060,1042,18,15,22,116,386,311,81,48,25,14,19,9,14,44.0,Baixa
3529104,Marinópolis,2101,201,201,0,1,18,45,69,50,13,2,0,0,0,2,1,957.0,Alta
3529203,Martinópolis,26791,1514,1492,22,2,26,337,742,346,46,11,1,1,0,0,2,565.0,Alta
3529302,Matão,84069,2611,2584,27,4,8,137,931,1476,50,3,0,2,0,0,0,311.0,Alta
3529401,Mauá,481725,90,61,29,3,4,16,20,29,2,2,5,6,2,0,1,2.0,Baixa
3529500,Mendonça,5638,479,461,18,5,23,121,196,98,22,8,1,0,2,3,0,850.0,Alta
3529609,Meridiano,3813,127,121,6,7,41,24,11,13,7,7,6,3,2,2,4,333.0,Alta
3529658,Mesópolis,1903,60,59,1,7,25,10,12,6,0,0,0,0,0,0,0,315.0,Alta
3529708,Miguelópolis,22480,5,5,0,1,0,0,0,1,0,0,1,0,0,0,2,2.0,Baixa
3529807,Mineiros do Tietê,13023,67,62,5,0,0,1,28,27,7,2,0,2,0,0,0,51.0,Baixa
3529906,Miracatu,19511,14,14,0,0,0,0,0,0,1,2,10,0,1,0,0,7.0,Baixa
3530003,Mira Estrela,3125,145,140,5,0,2,3,33,61,25,12,6,3,0,0,0,464.0,Alta
3530102,Mirandópolis,29844,602,602,0,14,24,49,125,155,62,58,41,16,16,20,22,202.0,Média
3530201,Mirante do Paranapanema,18415,166,158,8,0,0,3,9,14,9,9,3,8,17,62,32,90.0,Baixa
3530300,Mirassol,60768,1362,1362,0,26,59,362,514,280,66,30,4,2,12,4,3,224.0,Média
3530409,Mirassolândia,4966,13,12,1,0,4,1,5,2,0,1,0,0,0,0,0,26.0,Baixa
3530508,Mococa,69072,24,24,0,1,1,3,6,4,3,5,0,0,1,0,0,3.0,Baixa
3530607,Mogi das Cruzes,455587,99,57,42,5,2,5,29,40,8,7,1,0,0,0,2,2.0,Baixa
3530706,Mogi Guaçu,154146,2164,2157,7,23,66,344,894,589,168,52,16,3,0,5,4,140.0,Média
3530805,Mogi Mirim,94098,151,148,3,4,8,16,38,48,17,10,3,4,0,3,0,16.0,Baixa
3530904,Mombuca,3523,3,2,1,0,0,0,1,1,1,0,0,0,0,0,0,9.0,Baixa
3531001,Monções,2274,252,249,3,12,57,114,62,6,0,0,0,0,0,0,1,1108.0,Alta
3531100,Mongaguá,58567,15,15,0,0,0,0,2,3,0,4,3,0,2,1,0,3.0,Baixa
3531209,Monte Alegre do Sul,8181,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,4.0,Baixa
3531308,Monte Alto,51039,1530,1528,2,3,13,140,691,551,109,11,10,0,0,2,0,300.0,Média
3531407,Monte Aprazível,25651,705,662,43,7,39,225,228,184,10,5,0,0,3,0,4,275.0,Média
3531506,Monte Azul Paulista,18928,129,128,1,2,10,59,47,9,1,0,0,1,0,0,0,68.0,Baixa
3531605,Monte Castelo,4166,463,460,3,22,63,135,61,21,20,9,13,6,14,46,53,1111.0,Alta
3531704,Monteiro Lobato,4739,4,2,2,0,0,0,0,1,1,1,1,0,0,0,0,8.0,Baixa
3531803,Monte Mor,61707,71,69,2,1,1,5,27,28,4,2,2,1,0,0,0,12.0,Baixa
3531902,Morro Agudo,33598,943,936,7,5,6,146,259,385,119,12,3,0,3,5,0,281.0,Média
3532009,Morungaba,13936,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,Baixa
3532058,Motuca,4831,352,351,1,1,11,132,151,51,6,0,0,0,0,0,0,729.0,Alta
3532108,Murutinga do Sul,4525,246,244,2,1,4,61,117,46,7,4,3,0,0,1,2,544.0,Alta
3532157,Nantes,3215,7,7,0,0,0,0,4,2,1,0,0,0,0,0,0,22.0,Baixa
3532207,Narandiba,4950,80,78,2,2,0,2,37,29,4,4,0,1,0,0,1,162.0,Média
3532306,Natividade da Serra,6624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3532405,Nazaré Paulista,18866,6,6,0,0,1,0,2,2,0,0,0,0,0,1,0,3.0,Baixa
3532504,Neves Paulista,8917,441,437,4,5,1,64,278,70,18,3,1,0,0,0,1,495.0,Alta
3532603,Nhandeara,11575,626,622,4,23,196,278,89,28,7,1,1,0,1,1,1,541.0,Alta
3532702,Nipoã,5381,280,276,4,5,7,79,107,71,7,1,1,1,0,0,1,520.0,Alta
3532801,Nova Aliança,7161,665,664,1,29,26,219,152,143,66,24,6,0,0,0,0,929.0,Alta
3532827,Nova Campina,9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3532843,Nova Canaã Paulista,1824,44,42,2,3,17,1,22,1,0,0,0,0,0,0,0,241.0,Média
3532868,Nova Castilho,1290,109,109,0,64,12,17,14,2,0,0,0,0,0,0,0,845.0,Alta
3532900,Nova Europa,11519,543,543,0,2,1,53,140,240,74,20,4,1,1,3,4,471.0,Alta
3533007,Nova Granada,21871,1131,1102,29,101,350,425,180,62,4,5,1,0,2,0,1,517.0,Alta
3533106,Nova Guataporanga,2333,93,88,5,36,10,1,7,1,6,6,3,3,4,2,14,399.0,Alta
3533205,Nova Independência,4135,653,648,5,3,54,242,256,81,9,4,0,0,0,1,3,1579.0,Alta
3533254,Novais,6057,53,53,0,0,0,14,31,8,0,0,0,0,0,0,0,88.0,Baixa
3533304,Nova Luzitânia,4217,305,305,0,48,92,73,10,73,5,4,0,0,0,0,0,723.0,Alta
3533403,Nova Odessa,61716,360,356,4,0,3,54,101,137,27,14,10,6,7,1,0,58.0,Baixa
3533502,Novo Horizonte,41765,2177,2164,13,32,138,512,860,516,80,19,13,0,1,2,4,521.0,Alta
3533601,Nuporanga,7522,10,10,0,1,4,0,0,4,0,0,0,1,0,0,0,13.0,Baixa
3533700,Ocauçu,4294,7,7,0,0,0,0,5,1,0,1,0,0,0,0,0,16.0,Baixa
3533809,Óleo,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3533908,Olímpia,55477,1684,1665,19,26,138,638,706,116,32,14,10,2,1,0,1,304.0,Alta
3534005,Onda Verde,4462,286,283,3,3,5,68,105,60,16,10,2,2,2,9,4,641.0,Alta
3534104,Oriente,6569,205,204,1,0,36,87,49,26,2,4,1,0,0,0,0,312.0,Alta
3534203,Orindiúva,7318,875,866,9,7,53,416,268,106,13,6,4,0,1,1,0,1196.0,Alta
3534302,Orlândia,44682,608,585,23,0,3,40,112,139,54,39,25,26,19,41,110,136.0,Média
3534401,Osasco,701428,445,431,14,6,9,46,141,115,37,16,18,16,17,13,11,6.0,Baixa
3534500,Oscar Bressane,2603,180,178,2,0,3,26,97,43,9,1,0,0,0,0,1,692.0,Alta
3534609,Osvaldo Cruz,33118,894,894,0,1,2,17,115,296,112,103,54,23,31,55,85,270.0,Média
3534708,Ourinhos,115139,1707,1611,96,4,17,217,593,663,137,45,13,6,3,3,6,148.0,Média
3534757,Ouroeste,10712,44,44,0,1,2,4,22,11,2,0,0,2,0,0,0,41.0,Baixa
3534807,Ouro Verde,8676,513,510,3,1,4,28,113,244,52,32,17,3,1,3,15,591.0,Alta
3534906,Pacaembu,14326,432,432,0,3,4,21,139,152,42,14,2,5,9,10,31,302.0,Alta
3535002,Palestina,13285,989,986,3,326,267,206,121,53,2,6,2,4,0,1,1,744.0,Alta
3535101,Palmares Paulista,13691,278,271,7,3,9,40,91,93,30,11,1,0,0,0,0,203.0,Média
3535200,Palmeira d'Oeste,9173,942,930,12,14,85,237,376,192,19,4,3,2,1,0,9,1027.0,Alta
3535309,Palmital,22322,31,28,3,0,0,2,6,10,6,3,0,3,0,0,1,14.0,Baixa
3535408,Panorama,15944,162,162,0,0,2,11,24,31,24,18,15,0,1,8,28,102.0,Média
3535507,Paraguaçu Paulista,46180,2361,2328,33,203,379,716,527,357,90,54,15,5,4,8,3,511.0,Alta
3535606,Paraibuna,18302,12,11,1,0,0,0,7,4,0,1,0,0,0,0,0,7.0,Baixa
3535705,Paraíso,6536,104,85,19,1,1,12,22,34,15,9,2,1,0,2,5,159.0,Média
3535804,Paranapanema,20588,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,Baixa
3535903,Paranapuã,4112,450,436,14,32,71,197,108,35,4,3,0,0,0,0,0,1094.0,Alta
3536000,Parapuã,10934,152,147,5,1,0,8,23,38,37,23,3,0,3,3,13,139.0,Média
3536109,Pardinho,6579,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,5.0,Baixa
3536208,Pariquera-Açu,19797,4,3,1,1,0,0,1,0,1,0,1,0,0,0,0,2.0,Baixa
3536257,Parisi,2177,82,80,2,39,19,8,14,1,1,0,0,0,0,0,0,377.0,Alta
3536307,Patrocínio Paulista,14941,270,251,19,0,27,173,53,17,0,0,0,0,0,0,0,181.0,Média
3536406,Paulicéia,7540,682,670,12,18,6,54,127,130,72,39,37,20,9,60,110,905.0,Alta
3536505,Paulínia,114508,5301,5271,30,29,192,1135,2323,1248,198,114,20,17,12,7,6,463.0,Alta
3536570,Paulistânia,1835,19,18,1,0,1,0,18,0,0,0,0,0,0,0,0,104.0,Média
3536604,Paulo de Faria,8973,328,322,6,10,20,74,143,57,14,4,1,0,0,1,4,366.0,Alta
3536703,Pederneiras,47523,56,49,7,0,0,2,9,26,2,6,2,1,1,3,4,12.0,Baixa
3536802,Pedra Bela,6127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3536901,Pedranópolis,2468,75,74,1,8,26,28,8,4,0,0,0,1,0,0,0,304.0,Alta
3537008,Pedregulho,16876,138,136,2,3,4,35,32,54,9,1,0,0,0,0,0,82.0,Baixa
3537107,Pedreira,48992,318,309,9,3,2,33,128,106,29,10,4,1,1,1,0,65.0,Baixa
3537156,Pedrinhas Paulista,3109,8,4,4,0,0,2,6,0,0,0,0,0,0,0,0,26.0,Baixa
3537206,Pedro de Toledo,11507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3537305,Penápolis,64098,3221,3215,6,41,213,1127,1100,638,78,16,3,2,0,1,2,503.0,Alta
3537404,Pereira Barreto,25685,225,223,2,2,25,61,61,49,23,1,1,0,0,1,1,88.0,Baixa
3537503,Pereiras,8875,26,23,3,0,0,1,10,14,1,0,0,0,0,0,0,29.0,Baixa
3537602,Peruíbe,69697,38,38,0,0,0,2,8,17,5,1,0,1,1,1,2,5.0,Baixa
3537701,Piacatu,6093,774,769,5,0,5,85,304,310,59,7,3,1,0,0,0,1270.0,Alta
3537800,Piedade,55731,6,6,0,0,0,5,0,1,0,0,0,0,0,0,0,1.0,Baixa
3537909,Pilar do Sul,29612,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1.0,Baixa
3538006,Pindamonhangaba,171885,374,374,0,8,24,100,88,91,33,8,1,3,6,6,6,22.0,Baixa
3538105,Pindorama,17378,441,440,1,2,8,102,196,102,19,3,2,1,2,2,2,254.0,Média
3538204,Pinhalzinho,15564,21,19,2,1,0,4,5,9,1,0,0,1,0,0,0,13.0,Baixa
3538303,Piquerobi,3706,62,61,1,0,0,2,18,31,2,3,0,0,2,3,1,167.0,Média
3538501,Piquete,13495,7,6,1,0,0,0,1,6,0,0,0,0,0,0,0,5.0,Baixa
3538600,Piracaia,27617,27,24,3,0,0,0,2,8,2,4,6,4,0,0,1,10.0,Baixa
3538709,Piracicaba,410275,1443,1443,0,10,39,247,561,433,95,19,19,12,4,2,2,35.0,Baixa
3538808,Piraju,29930,21,17,4,0,1,0,8,9,2,0,0,1,0,0,0,7.0,Baixa
3538907,Pirajuí,25939,79,79,0,0,1,19,17,14,5,0,1,0,0,5,17,30.0,Baixa
3539004,Pirangi,11524,223,223,0,2,2,13,37,67,36,21,11,14,10,7,3,194.0,Média
3539103,Pirapora do Bom Jesus,19453,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,Baixa
3539202,Pirapozinho,27974,472,466,6,2,0,42,140,172,56,17,12,3,9,8,11,169.0,Média
3539301,Pirassununga,77330,75,71,4,0,1,4,17,30,8,7,1,2,0,1,4,10.0,Baixa
3539400,Piratininga,13890,97,71,26,1,0,10,34,38,3,6,2,2,0,1,0,70.0,Baixa
3539509,Pitangueiras,40430,742,736,6,0,9,73,275,334,40,10,0,0,0,0,1,184.0,Média
3539608,Planalto,5370,445,442,3,4,38,101,186,91,13,0,0,2,1,3,6,829.0,Alta
3539707,Platina,3606,18,18,0,0,0,0,10,3,4,0,0,0,0,0,1,50.0,Baixa
3539806,Poá,119221,45,45,0,0,1,5,14,19,1,3,2,0,0,0,0,4.0,Baixa
3539905,Poloni,6166,388,387,1,6,16,137,145,73,10,0,0,0,0,1,0,629.0,Alta
3540002,Pompéia,22326,144,143,1,3,7,23,51,41,2,13,0,0,0,0,4,64.0,Baixa
3540101,Pongaí,3385,22,12,10,0,1,4,2,13,2,0,0,0,0,0,0,65.0,Baixa
3540200,Pontal,51717,302,299,3,1,1,44,136,85,18,9,0,0,0,3,5,58.0,Baixa
3540259,Pontalinda,4719,232,228,4,2,13,30,95,83,5,3,0,0,0,0,1,492.0,Alta
3540309,Pontes Gestal,2576,79,79,0,16,20,18,12,8,1,1,0,0,2,1,0,307.0,Alta
3540408,Populina,4136,182,181,1,5,50,107,20,0,0,0,0,0,0,0,0,440.0,Alta
3540507,Porangaba,10205,9,3,6,0,0,0,4,5,0,0,0,0,0,0,0,9.0,Baixa
3540606,Porto Feliz,53698,1477,1476,1,44,28,72,517,641,124,29,2,0,1,5,14,275.0,Média
3540705,Porto Ferreira,56848,86,86,0,0,4,10,11,25,18,5,10,0,1,1,1,15.0,Baixa
3540754,Potim,25603,43,42,1,0,0,0,2,10,4,0,0,2,6,7,12,17.0,Baixa
3540804,Potirendaba,17668,337,334,3,12,10,32,91,112,37,18,10,5,3,3,4,191.0,Média
3540853,Pracinha,4327,17,17,0,0,0,0,6,9,2,0,0,0,0,0,0,39.0,Baixa
3540903,Pradópolis,22239,111,100,11,0,0,10,28,51,9,4,2,2,0,2,3,50.0,Baixa
3541000,Praia Grande,336454,31,30,1,1,2,2,4,12,5,1,2,0,0,2,0,1.0,Baixa
3541059,Pratânia,5371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3541109,Presidente Alves,4067,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0,Baixa
3541208,Presidente Bernardes,12943,180,179,1,2,3,11,41,47,30,12,0,6,1,14,13,139.0,Média
3541307,Presidente Epitácio,44572,372,368,4,0,5,16,78,90,32,12,18,18,23,29,51,83.0,Baixa
3541406,Presidente Prudente,231953,7629,7517,112,42,44,548,2285,2748,1267,322,68,21,28,81,175,329.0,Alta
3541505,Presidente Venceslau,39648,900,895,5,1,37,269,387,156,14,16,3,2,5,3,7,227.0,Média
3541604,Promissão,41211,170,169,1,0,1,32,66,54,6,2,4,0,1,1,3,41.0,Baixa
3541653,Quadra,3902,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,Baixa
3541703,Quatá,14309,617,614,3,0,9,87,322,160,27,8,2,0,0,2,0,431.0,Alta
3541802,Queiroz,3513,566,566,0,1,1,96,304,121,26,13,3,0,1,0,0,1611.0,Alta
3541901,Queluz,13788,67,63,4,1,0,13,26,23,3,0,0,0,0,0,1,49.0,Baixa
3542008,Quintana,6736,518,501,17,33,33,114,172,119,34,8,5,0,0,0,0,769.0,Alta
3542107,Rafard,9126,44,44,0,0,0,10,18,16,0,0,0,0,0,0,0,48.0,Baixa
3542206,Rancharia,29743,280,260,20,4,3,6,67,96,50,20,8,6,6,5,9,94.0,Baixa
3542305,Redenção da Serra,3827,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,Baixa
3542404,Regente Feijó,20523,1046,1039,7,5,16,277,591,100,10,21,4,1,4,10,7,510.0,Alta
3542503,Reginópolis,10047,89,86,3,0,5,11,31,33,3,1,4,0,0,0,1,89.0,Baixa
3542602,Registro,56463,6,6,0,0,0,0,1,1,1,0,0,0,1,0,2,1.0,Baixa
3542701,Restinga,7762,75,75,0,0,0,10,33,31,1,0,0,0,0,0,0,97.0,Baixa
3542800,Ribeira,3320,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,12.0,Baixa
3542909,Ribeirão Bonito,13376,548,547,1,3,8,43,167,246,65,9,3,4,0,0,0,410.0,Alta
3543006,Ribeirão Branco,15984,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1.0,Baixa
3543105,Ribeirão Corrente,4786,6,6,0,0,0,0,2,4,0,0,0,0,0,0,0,13.0,Baixa
3543204,Ribeirão do Sul,4537,11,11,0,0,0,0,5,4,1,0,0,1,0,0,0,24.0,Baixa
3543238,Ribeirão dos Índios,2222,26,23,3,0,0,2,1,7,7,6,2,1,0,0,0,117.0,Média
3543253,Ribeirão Grande,7686,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3.0,Baixa
3543303,Ribeirão Pires,125238,14,4,10,2,0,0,6,4,0,0,1,1,0,0,0,1.0,Baixa
3543402,Ribeirão Preto,720116,7470,7444,26,53,193,1023,2488,2213,856,233,114,87,66,65,79,104.0,Média
3543501,Riversul,5364,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4.0,Baixa
3543600,Rifaina,3651,7,7,0,0,0,2,3,1,0,1,0,0,0,0,0,19.0,Baixa
3543709,Rincão,10824,461,460,1,0,4,141,245,48,11,2,2,2,2,0,4,426.0,Alta
3543808,Rinópolis,9940,731,731,0,3,21,155,349,175,24,0,3,0,0,0,1,735.0,Alta
3543907,Rio Claro,209548,365,349,16,9,16,62,142,93,19,8,2,1,8,2,3,17.0,Baixa
3544004,Rio das Pedras,36233,8,8,0,0,1,1,1,4,0,0,0,1,0,0,0,2.0,Baixa
3544103,Rio Grande da Serra,52009,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,Baixa
3544202,Riolândia,12856,431,431,0,9,49,198,125,42,4,3,0,0,0,0,1,335.0,Alta
3544251,Rosana,15929,673,669,4,3,1,10,114,248,106,75,43,13,9,31,20,422.0,Alta
