CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3505005,Barão de Antonina,3525,95,93,2,0,0,6,40,47,1,0,0,1,0,0,0,270.0,Média
3505104,Barbosa,7532,75,73,2,5,4,26,39,1,0,0,0,0,0,0,0,100.0,Média
3505203,Bariri,35844,20,14,6,0,0,0,5,11,4,0,0,0,0,0,0,6.0,Baixa
3505302,Barra Bonita,36125,343,272,71,0,2,34,177,100,24,6,0,0,0,0,0,95.0,Baixa
3505351,Barra do Chapéu,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3505401,Barra do Turvo,7606,12,12,0,0,1,0,3,3,2,2,1,0,0,0,0,16.0,Baixa
3505500,Barretos,123546,2021,2018,3,6,18,138,658,680,224,235,29,12,7,7,7,164.0,Média
3505609,Barrinha,33537,387,383,4,2,6,54,184,84,36,14,3,2,0,0,2,115.0,Média
3505708,Barueri,279704,58,45,13,4,7,11,13,15,5,3,0,0,0,0,0,2.0,Baixa
3505807,Bastos,20952,652,652,0,1,1,62,193,248,81,29,14,7,1,0,15,311.0,Alta
3505906,Batatais,63438,1337,1245,92,0,10,77,435,620,177,13,2,2,0,0,1,211.0,Média
3506003,Bauru,381706,3831,3820,11,26,54,508,1349,1057,332,194,138,49,19,36,69,100.0,Média
3506102,Bebedouro,77612,528,526,2,0,6,83,204,181,42,5,6,0,1,0,0,68.0,Baixa
3506201,Bento de Abreu,3028,67,58,9,1,0,6,10,29,15,6,0,0,0,0,0,221.0,Média
3506300,Bernardino de Campos,11168,7,7,0,0,0,2,1,2,2,0,0,0,0,0,0,6.0,Baixa
3506359,Bertioga,66154,146,144,2,4,0,4,18,40,39,19,10,2,3,2,5,22.0,Baixa
3506409,Bilac,8197,163,161,2,7,16,50,76,9,3,1,0,0,0,0,1,199.0,Média
3506508,Birigui,126094,9636,9546,90,77,308,2463,3569,2090,594,276,92,70,38,35,24,764.0,Alta
3506607,Biritiba Mirim,33265,54,49,5,2,0,3,30,16,1,1,0,0,0,0,1,16.0,Baixa
3506706,Boa Esperança do Sul,15111,758,755,3,0,0,27,133,348,131,41,11,5,6,24,32,502.0,Alta
3506805,Bocaina,12571,309,309,0,0,2,53,129,104,17,2,0,0,0,1,1,246.0,Média
3506904,Bofete,12107,4,2,2,0,0,0,1,1,1,1,0,0,0,0,0,3.0,Baixa
3507001,Boituva,63310,88,84,4,2,1,15,34,21,6,2,1,1,1,1,3,14.0,Baixa
3507100,Bom Jesus dos Perdões,26506,56,56,0,0,0,1,10,16,7,5,5,5,2,3,2,21.0,Baixa
3507159,Bom Sucesso de Itararé,4013,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,Baixa
3507209,Borá,839,66,64,2,17,22,14,7,5,1,0,0,0,0,0,0,787.0,Alta
3507308,Boracéia,4913,19,18,1,0,0,0,2,10,5,2,0,0,0,0,0,39.0,Baixa
