CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3500105,Adamantina,0.5238037671313024,-0.3238552919398703,-0.05501934123220132,-0.18037929467902764,0.07781395719011995,0.4519952981246393,0.8019860024065678,0.5084733848422534,0.5594474582361414,0.566348173476696,0.31836657681240305,0.29990580268342915,1.4329068578511823,2.9689790940708094,0.5153026163153457
3500204,Adolfo,-0.20345189529736948,-0.3635739756209361,0.6224654724109662,0.03760386868788952,-0.14508024243375303,-0.24787688789085555,-0.2851365319697253,-0.2631065377545248,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.1834921128984475,-0.20768611261521222
3500303,Aguaí,-0.3087530962078715,-0.3238552919398703,-0.1735791836197556,-0.24266019849814682,-0.2760305847127784,-0.30619957005881343,-0.3162655913241126,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.3116692631382197
3500402,Águas da Prata,-0.31183207869063473,-0.3635739756209361,-0.207453424301914,-0.2530403491346667,-0.27881676220807683,-0.3079669240639031,-0.31866013435137314,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.31533925668609053
3500501,Águas de Lindóia,-0.30505831722855564,0.07333154487078758,-0.207453424301914,-0.2530403491346667,-0.2760305847127784,-0.2973628000333653,-0.28992561802424643,-0.2548099794470326,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.30188261367723074
3500550,Águas de Santa Bárbara,-0.28350543984921317,-0.2046992408966729,-0.207453424301914,-0.2530403491346667,-0.2760305847127784,-0.28675867600282745,-0.2420347574790353,-0.2631065377545248,-0.22652178213097793,-0.1881578747628411,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.2847559771205001
3500600,Águas de São Pedro,-0.30197933474579247,-0.045824506172409775,-0.207453424301914,-0.24266019849814682,-0.2704582297221816,-0.2885260300079171,-0.3042928761878098,-0.2548099794470326,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.30065928249460716
3500709,Agudos,-0.15603556506281593,-0.08554318985347556,-0.1735791836197556,-0.2530403491346667,-0.1813005498726324,-0.17364801967709093,-0.08878400373435962,-0.11376848821966451,0.0009956295542408052,-0.037256665114933675,-0.07415686058489286,-0.10748301921674575,-0.025558736005925373,-0.020993597075289933,-0.15630620294502026
3500758,Alambari,-0.3112162821940821,-0.3635739756209361,-0.207453424301914,-0.2530403491346667,-0.27881676220807683,-0.30619957005881343,-0.31866013435137314,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.3147275910947787
3500808,Alfredo Marcondes,-0.19544654084218513,4.243793331382695,-0.12276782259651806,-0.24266019849814682,-0.27881676220807683,-0.2973628000333653,-0.270769273806162,-0.16354783806461795,-0.1644715789441001,-0.07498196752691053,-0.07415686058489286,0.11472906545607695,3.2247360160184857,4.9514609871133315,-0.1287812513359889
3500907,Altair,-0.2927423872975028,-0.045824506172409775,-0.15664206327867644,-0.20113959595206737,-0.23423792228330223,-0.28499132199773786,-0.3162655913241126,-0.2796996543695093,-0.24720518319327056,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.29148429862493
3501004,Altinópolis,-0.30813729971131887,-0.2046992408966729,-0.207453424301914,-0.2530403491346667,-0.27324440721748,-0.2991301540384549,-0.3114765052695915,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.3092226007729725
3501103,Alto Alegre,-0.10923503132481505,0.033612861189721795,1.5540070911703212,0.5462312498773629,-0.0029851901735340075,-0.24257482587558662,-0.2659801877516409,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.10798462123138738
3501152,Alumínio,-0.3093688927044242,-0.2444179245777387,-0.207453424301914,-0.2530403491346667,-0.2676720522268832,-0.3044322160537238,-0.3162655913241126,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.31105759754690787
3501202,Álvares Florence,-0.04272900969712955,-0.3238552919398703,0.3684086672947783,0.7953548651538397,0.2310537194315326,-0.17011331166691168,-0.27795290288794366,-0.2133271879095714,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.10748301921674575,-0.1505700726222489,0.2715037314063937,-0.04742972769151832
3501301,Álvares Machado,0.08905144056513616,-0.08554318985347556,-0.13970494293759725,-0.23228004786162695,-0.26488587473158476,-0.27085248995702077,-0.1630148375794369,-0.10547192991217227,0.3732968486755079,0.7172493831246034,1.0161860210742624,1.3739308786020723,5.224917401879662,9.078923289021533,0.0871367023970796
3501400,Álvaro de Carvalho,-0.24717344655260717,-0.2841366082588045,-0.207453424301914,-0.23228004786162695,-0.2537411647503911,-0.22313393181960067,-0.2372456714245142,-0.18014095467960242,-0.24720518319327056,-0.1881578747628411,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.24989103841572702
3501509,Alvinlândia,-0.30321092773889774,-0.2841366082588045,-0.207453424301914,-0.2530403491346667,-0.27881676220807683,-0.3026648620486342,-0.28992561802424643,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1505700726222489,-0.21599181606307902,-0.3055526072251016
3501608,Americana,2.33547705998918,0.07333154487078758,-0.038082220891122134,0.5358510992408431,2.003062606441323,2.6382122024205157,2.825374860441739,1.8193295974260273,1.5108839071016014,1.094502407244372,0.5800488684106003,0.5591532348017223,0.05778215507162363,0.07650551241860461,2.320939441867805
3501707,Américo Brasiliense,1.7757180446228267,0.43079969800037965,-0.10583070225543888,0.919916672792078,1.9445528790400561,2.251161675305886,1.6831778364384529,0.7739632506820051,0.7249146667344823,0.37772166141681174,0.013070569947839568,0.0776937180106065,-0.06722918154469988,-0.053493300239921444,1.7704404096871773
3501806,Américo de Campos,-0.05442914313162977,0.033612861189721795,-0.0719564615732805,0.8991563715190383,0.1112480871337009,-0.11179062949895377,-0.20132752601560583,-0.2133271879095714,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1505700726222489,-0.21599181606307902,-0.053546383604636406
3501905,Amparo,-0.2995161487595819,-0.045824506172409775,-0.207453424301914,-0.2530403491346667,-0.2760305847127784,-0.2885260300079171,-0.28992561802424643,-0.2548099794470326,-0.26788858425556317,-0.22588317717481796,-0.11777057585125908,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.2982126201293599
3502002,Analândia,-0.28781601532508166,-0.12526187353454135,-0.207453424301914,-0.2530403491346667,-0.27881676220807683,-0.2920607380180964,-0.26119110169711973,-0.1967340712945869,-0.26788858425556317,-0.1881578747628411,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.1834921128984475,-0.28781430507705913
3502101,Andradina,0.8951290545525464,-0.3238552919398703,-0.05501934123220132,0.11026492314352858,0.1809025245161612,0.8620214273054343,1.6999396376292768,1.2717567491315394,0.16646283805258172,0.07591924212099689,-0.030543145318526647,0.11472906545607695,0.26613438276549617,0.10900521558323613,0.8841369678763663
3502200,Angatuba,-0.3069057067182136,-0.2444179245777387,-0.1905163039608348,-0.2530403491346667,-0.27324440721748,-0.3026648620486342,-0.31387104829685203,-0.2796996543695093,-0.20583838106868532,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.30861093518166066
3502309,Anhembi,-0.3069057067182136,-0.3635739756209361,-0.1905163039608348,-0.2530403491346667,-0.2760305847127784,-0.3026648620486342,-0.3114765052695915,-0.2796996543695093,-0.26788858425556317,-0.22588317717481796,-0.16138429111762528,-0.1445183666622162,-0.1922405181610234,-0.21599181606307902,-0.31044593195559606
3502408,Anhumas,-0.13386689118692077,-0.2444179245777387,-0.207453424301914,-0.23228004786162695,-0.23145174478800382,-0.09941915146332633,-0.11512397703422575,0.1268317026976104,-0.04037117257034442,-0.07498196752691053,-0.16138429111762528,-0.10748301921674575,-0.06722918154469988,-0.150992409733816,-0.1367329040230424
